"logLi","bic","no.param","treatment"
-18.9283438722913,59.5210893534002,2,1
-77.3540659115593,176.372533431936,2,2
-30.8065185531755,83.2774387151688,2,3
-53.2508974430777,128.166196494973,2,4
-64.5750231278047,150.814447864427,2,5
-72.6411890675272,166.946779743872,2,6
