"Room","GPP (g C)","Rm (g C)","Cs (g C)","Rg (g C)","Cn (g C)"
"1",4.46014024,1.24759144081342,1.57697034976093,0.473091104928279,1.16248734449737
"2",9.639034727,2.35872847949809,3.70846322157892,1.11253896647367,2.45930405944932
"3",12.976062622,2.91001166572018,5.08349971089404,1.52504991326821,3.45750133211756
"4",14.918094277,3.75749612716753,5.67338049432636,1.70201414829791,3.7852035072082
"5",9.653681253,3.25189104244147,4.51200495776089,1.35360148732827,0.536183765469374
"6",6.157036204,2.53065428194634,2.92092051877607,0.876276155632822,-0.17081475235523
