"Case.rm4to1","biomass.rm4to1","mass.diff.rm4to1"
"Baseline",8.65966553114084,8.65966553114084
"VPD",9.6182025504175,0.95853701927666
"Tempearature",7.33909971527907,-1.32056581586177
"SLA",3.69685705747475,-4.96280847366609
"Vcmax and Jmax",18.3894517275575,9.72978619641666
"Ea and Deltas",10.830853232152,2.17118770101112
"g[1]",7.79637723098268,-0.863288300158154
"alpha and theta",6.38968020265269,-2.26998532848815
"Respiration",3.75215425633731,-4.90751127480353
"allocations",4.47600599258215,-4.18365953855869
"Y",14.1988220659186,5.53915653477774
"k",10.0143959740732,1.35473044293233
