"Case.rm1to4","biomass.rm1to4","mass.diff.rm1to4"
"Baseline",2.57256779958936,2.57256779958936
"VPD",2.36427796122172,-0.208289838367648
"Tempearature",2.9344206260752,0.361852826485833
"SLA",5.38571133542505,2.81314353583569
"Vcmax and Jmax",1.2637833673353,-1.30878443225406
"Ea and Deltas",2.81211063255682,0.239542832967458
"g[1]",2.89196140151699,0.319393601927624
"alpha and theta",2.88801354198507,0.315445742395707
"Respiration",5.3488864507205,2.77631865113114
"allocations",4.14667038101074,1.57410258142138
"Y",1.88152362660929,-0.691044172980071
"k",2.31797828620324,-0.254589513386126
