"Pot","Prov","Code","Height","D1","D2","Leafarea","Leafno","Leafmass","Stemmass","Rootmass","Date","Room","D"
17,"C","C-17",40,4.72,4.97,729.97,29,2.6637,1.084,1.1013,2016-02-17,2,4.845
75,"B","B-75",67.4,5.14,5.22,962.36,57,3.9645,2.5736,1.1174,2016-02-18,5,5.18
21,"B","B-21",57.5,4.13,4.11,868.39,26,3.3937,1.41164,1.1258,2016-02-23,2,4.12
56,"A","A-56",67.2,4.09,4.07,856.1,36,3.64,1.84,1.13,2016-02-10,4,4.08
66,"A","A-66",70.2,3.82,3.78,680.6,46,2.62,2.1,1.16,2016-02-10,5,3.8
24,"A","A-24",41.5,4.32,4.43,761.53,21,3.2091,0.736,1.1742,2016-02-17,2,4.375
42,"A","A-42",60.7,5.27,4.91,911.7,28,3.4061,2.347,1.1824,2016-02-17,3,5.09
67,"B","B-67",63.5,4.41,4.47,792,57,4.5175,2.3162,1.1983,2016-02-17,5,4.44
45,"C","C-45",65,5.15,5.36,810.6,45,3.8983,2.1483,1.1999,2016-02-18,3,5.255
17,"B","B-17",51.5,4.95,4.45,639,38,2.1352,1.1309,1.2406,2016-02-18,2,4.7
64,"C","C-64",70.5,4.5,4.37,629.33,27,3.047,2.1408,1.2471,2016-02-22,5,4.435
10,"C","C-10",35,4.03,3.92,538.04,27,2.6647,0.9137,1.2514,2016-02-24,1,3.975
26,"B","B-26",47.5,5.3,5.26,852.32,33,3.0844,1.5093,1.3104,2016-02-19,2,5.28
51,"C","C-51",63.8,4.16,4.27,612.5,24,3.39,1.47,1.32,2016-02-10,4,4.215
62,"B","B-62",78,4.25,4.38,1314.6,55,5.4602,2.8762,1.3468,2016-02-24,5,4.315
15,"A","A-15",41,4.2,4.26,752.65,52,3.1462,1.2391,1.3908,2016-02-24,1,4.23
30,"B","B-30",65,4.23,4.54,875.53,30,2.6782,1.5867,1.4007,2016-02-23,2,4.385
65,"A","A-65",79.8,6.25,5.76,969.67,34,4.1185,3.6086,1.4066,2016-02-18,5,6.005
54,"C","C-54",90.5,4.99,5.41,1102.14,44,4.0879,3.4181,1.4087,2016-02-23,4,5.2
47,"C","C-47",64.5,5.34,5.18,933.96,34,4.6201,2.054,1.4241,2016-02-19,4,5.26
63,"A","A-63",75.5,4.1,4.15,964.4,59,4.1404,2.551,1.4315,2016-02-17,5,4.125
14,"A","A-14",44.5,4.18,4.08,622.1,22,2.4912,1.0974,1.4511,2016-02-22,1,4.13
19,"A","A-19",63,5.68,5.2,1025.12,39,4.6936,2.3394,1.4538,2016-02-23,2,5.44
58,"C","C-58",69,5.5,5.68,1215.45,43,5.0725,3.0358,1.45635,2016-02-17,4,5.59
61,"C","C-61",61.5,4.4,3.86,902.52,71,4.2654,2.3487,1.4609,2016-02-17,5,4.13
22,"A","A-22",58,4.95,4.78,971.65,41,3.5006,1.9599,1.4779,2016-02-23,2,4.865
77,"A","A-77",56.5,4.56,4.47,833.06,81,4.0953,2.8008,1.4801,2016-02-17,6,4.515
16,"B","B-16",52,4.92,4.37,865.97,26,4.1777,1.6,1.5292,2016-02-17,2,4.645
62,"C","C-62",85.5,5.08,5.21,1308.77,38,6.6142,3.8132,1.5374,2016-02-23,5,5.145
51,"B","B-51",69.5,5.37,5.61,1471.24,48,5.8922,2.9318,1.5487,2016-02-23,4,5.49
22,"C","C-22",65,5.03,4.79,1072.38,40,3.823,2.0224,1.5572,2016-02-23,2,4.91
36,"C","C-36",65.2,4.69,4.84,872,24,3.4295,2.06,1.5594,2016-02-17,3,4.765
