Date,Room,GPP,R_leaf,R_stem,R_root,R_leaf_se,R_stem_se,R_root_se,LA,LA_SE,Leafmass,Leafmass_SE,Stemmass,Stemmass_SE,Rootmass,Rootmass_SE
2/02/2016,1,0.07230409,0.053028483,0.033991452,0.03258396,0.000521777,0.00039225,0.000470989,0.010642084,0.000598613,0.249159533,0.012466602,0.070631948,0.004323969,0.160120728,0.006427278
31/01/2016,1,0.057597735,0.051327806,0.034234801,0.032817232,0.000521777,0.00039225,0.000470989,0.009028935,0.00051931,0.22099184,0.011159776,0.060183906,0.003730614,0.139178368,0.005833995
9/02/2016,1,0.101305068,0.057150254,0.033883256,0.032480244,0.000521777,0.00039225,0.000470989,0.017363643,0.001145599,0.366454324,0.022102907,0.115776902,0.008698334,0.239392401,0.010116671
7/02/2016,1,0.087856954,0.055742506,0.033910155,0.032506029,0.000521777,0.00039225,0.000470989,0.014674957,0.000796869,0.319578766,0.015733668,0.096752053,0.005807357,0.212476626,0.007910484
16/02/2016,1,0.191009264,0.058100248,0.033443281,0.032058486,0.000521777,0.00039225,0.000470989,0.030538427,0.003309148,0.595996303,0.062113695,0.212382702,0.026858429,0.35450457,0.023483499
14/02/2016,1,0.171005266,0.05812804,0.033862716,0.032460554,0.000521777,0.00039225,0.000470989,0.026774203,0.002690991,0.53041288,0.050682042,0.184781044,0.02166983,0.321615379,0.019664405
3/02/2016,1,0.070274195,0.052963795,0.034264756,0.032845946,0.000521777,0.00039225,0.000470989,0.011448658,0.000638264,0.26324338,0.013120015,0.075855969,0.004620646,0.170591907,0.006723919
1/02/2016,1,0.04642224,0.052629837,0.033688775,0.032293815,0.000521777,0.00039225,0.000470989,0.009835509,0.000558961,0.235075687,0.011813189,0.065407927,0.004027291,0.149649548,0.006130636
10/02/2016,1,0.139121152,0.057480443,0.034437821,0.033011845,0.000521777,0.00039225,0.000470989,0.019245755,0.001454677,0.399246035,0.027818734,0.12957773,0.011292633,0.255836997,0.012026218
19/02/2016,1,0.25492548,0.059201554,0.034195936,0.032779976,0.000521777,0.00039225,0.000470989,0.036091625,0.004223815,0.698486823,0.078006459,0.256440017,0.034570365,0.394103929,0.028853788
17/02/2016,1,0.21123132,0.058708325,0.033342915,0.031962276,0.000521777,0.00039225,0.000470989,0.032420539,0.003618227,0.628788015,0.067829522,0.22618353,0.029452728,0.370949166,0.025393045
24/02/2016,1,0.34085155,0.059995334,0.03308736,0.031717303,0.000521777,0.00039225,0.000470989,0.047354991,0.00511844,0.907165177,0.0901705,0.353577979,0.042240037,0.450824266,0.033472156
22/02/2016,1,0.296043478,0.058324297,0.034114165,0.032701591,0.000521777,0.00039225,0.000470989,0.041458548,0.005113344,0.809208115,0.091389788,0.305806992,0.042140378,0.414234431,0.033507373
20/02/2016,1,0.170816281,0.05851502,0.033353426,0.031972352,0.000521777,0.00039225,0.000470989,0.037880599,0.004520325,0.73539392,0.082467568,0.272895675,0.037093703,0.400814096,0.030404983
18/02/2016,1,0.235146514,0.059556305,0.033711279,0.032315387,0.000521777,0.00039225,0.000470989,0.034302651,0.003927305,0.661579726,0.073545349,0.239984359,0.032047028,0.387393761,0.027302592
21/02/2016,1,0.225733537,0.058188045,0.033567738,0.03217779,0.000521777,0.00039225,0.000470989,0.039669573,0.004816835,0.772301018,0.086928678,0.289351334,0.03961704,0.407524263,0.031956178
23/02/2016,1,0.316559032,0.058118593,0.03420067,0.032784514,0.000521777,0.00039225,0.000470989,0.043247522,0.005409854,0.846115212,0.095850897,0.322262651,0.044663715,0.420944598,0.035058569
