"alpha","alpha.se","Room","Tgrowth"
0.127011248889678,0.00531400725411543,1,18
0.152616373178464,0.00731222653269225,2,21.5
0.163736604422277,0.00860928961762248,3,25
0.185480418871008,0.00968235543157199,4,28.5
0.174511588854142,0.00534307830311776,5,32
0.168215917161217,0.0067899733396153,6,35.5
