"Room","g1","g1.se","alpha.mean","alpha.std.error","EaV","delsV","EaJ","delsJ"
1,1.57806576951101,0.213545603065171,0.180140486218251,0.00408827069696238,58.8715414480135,0.629270353489272,42.7463521793887,0.631284905227567
1,1.57806576951101,0.213545603065171,0.180140486218251,0.00408827069696238,58.8715414480135,0.629270353489272,42.7463521793887,0.631284905227567
2,7.69624650696729,0.602325372316045,0.202626459006697,0.00492678316991248,58.8715414480135,0.629270353489272,42.7463521793887,0.631284905227567
2,7.69624650696729,0.602325372316045,0.202626459006697,0.00492678316991248,58.8715414480135,0.629270353489272,42.7463521793887,0.631284905227567
3,6.34457241018802,0.213016898184476,0.192818235023796,0.005963304805021,57.7116684609242,0.628845158791358,32.672770601723,0.624974014970086
3,6.34457241018802,0.213016898184476,0.192818235023796,0.005963304805021,57.7116684609242,0.628845158791358,32.672770601723,0.624974014970086
4,8.78368041106877,0.915210093301141,0.194766072542615,0.00398543800120683,57.7116684609242,0.628845158791358,32.672770601723,0.624974014970086
4,8.78368041106877,0.915210093301141,0.194766072542615,0.00398543800120683,57.7116684609242,0.628845158791358,32.672770601723,0.624974014970086
5,16.4526709508998,0.932335542142308,0.159208010978347,0.00343380275879282,82.5470573969027,0.63254188507317,50.9975538362866,0.630937919724028
5,16.4526709508998,0.932335542142308,0.159208010978347,0.00343380275879282,82.5470573969027,0.63254188507317,50.9975538362866,0.630937919724028
6,15.4349126883096,1.57340743086556,0.135661921831737,0.00260154605471621,82.5470573969027,0.63254188507317,50.9975538362866,0.630937919724028
6,15.4349126883096,1.57340743086556,0.135661921831737,0.00260154605471621,82.5470573969027,0.63254188507317,50.9975538362866,0.630937919724028
