"Room","GPP.sum","Rm.sum","Tair.mean","LA","Leafmass","Stemmass","Rootmass","totdm_f","totdm.mean","totdm_i","fCarbon_calc","Rg","storage"
1,4.70874912206425,1.39689483497117,18,0.063854632957339,1.30238163783115,0.512259214127339,0.598622208708111,2.4132630606666,2.5656619047619,0.102189809739913,4.40129006117587,0.693321975278006,0.307459060888388
2,13.2668176110242,2.74958487407232,21.5,0.125342490447154,2.55247359628343,1.37264247312807,0.917279044360301,4.8423951137718,4.98938285714286,0.102189809739913,8.91185176931377,1.42206159120957,4.35496584171042
3,15.9450919701594,3.26709391293313,25,0.157383883482113,3.20219466812507,1.9197198363784,1.06957406833771,6.19148857284118,7.71447619047619,0.102189809739913,11.1831823049648,1.82678962893038,4.76190966519467
4,20.8793627032266,5.28244089717062,28.5,0.1890128385202,3.83455143614085,2.39567693360333,1.25624508736032,7.4864734571045,9.03134,0.102189809739913,14.8820096387446,2.21528509420938,5.99735306448206
5,12.0338236658108,5.83960161702094,32.5,0.173326305705172,3.53546656359171,2.34627396536655,1.08688310423395,6.96862363319221,7.76477619047619,0.102189809739913,14.7659655875089,2.05993014703569,-2.73214192169814
6,5.5107336735169,4.28117386823732,35.5,0.0939225315355612,1.94641767480758,1.29341248330537,0.559174333780146,3.7990044918931,5.02666857142857,0.102189809739913,9.08703295503646,1.10904440464595,-3.57629928151956
