"Date","Room","Leafarea","Leafarea_SE","Leafmass","Leafmass_SE","Stemmass","Stemmass_SE","Rootmass","Rootmass_SE"
2016-01-08,1,0.00272519495832559,0.000125484111185529,0.0585035310510803,0.00274480827123916,0.0142187887267278,0.000829155561007252,0.0267033823754195,0.00109973313279094
2016-01-18,1,0.00346973705561024,0.000235470789094507,0.113230531673889,0.00657436333440842,0.0241434616516647,0.00173719662691682,0.0605148717962157,0.00303011066983308
2016-01-28,1,0.00660921112062662,0.000400356367760436,0.178740301073101,0.00919953697686844,0.0445118434524362,0.00284058076930703,0.107764829400805,0.00494407177686189
2016-02-08,1,0.0154815312499692,0.000836520120134819,0.333662612164359,0.0163870806151418,0.101976073415424,0.00610403423605596,0.22294780533051,0.00820712469745393
2016-02-29,1,0.0678923374350788,0.00366136652734448,1.21241499845381,0.0617685127581889,0.510154617982067,0.0301216436903655,0.600222607247188,0.0255400907644212
2016-01-08,2,0.00272519495832559,0.000125484111185529,0.0585035310510803,0.00274480827123916,0.0142187887267278,0.000829155561007252,0.0267033823754195,0.00109973313279094
2016-01-18,2,0.00411034947081491,0.000204667326189122,0.0796333676378985,0.00395253656087043,0.0273326748131319,0.00145468590848817,0.0496885836735758,0.00214203011065703
2016-01-28,2,0.0103127566815156,0.000515906956047241,0.199033937404473,0.00969635848736578,0.0700024381225426,0.00416520179594726,0.109716110061902,0.00460998051662215
2016-02-08,2,0.0368148228987619,0.00155568852381777,0.705052672217353,0.0281802284846544,0.258209931885956,0.0139291516268184,0.327970839931035,0.0113982606776482
2016-02-29,2,0.132300380087354,0.00464963140234952,2.37298582611088,0.0807510543050972,1.2112569726277,0.0511479125956956,0.937649799090598,0.0276660332098398
2016-01-08,3,0.00272519495832559,0.000125484111185529,0.0585035310510803,0.00274480827123916,0.0142187887267278,0.000829155561007252,0.0267033823754195,0.00109973313279094
2016-01-18,3,0.00714611137393643,0.000357043950031892,0.124057607024549,0.00676962554259793,0.0314609541262761,0.00214023607723614,0.0666493630180667,0.00309767220539075
2016-01-28,3,0.0184664037920117,0.000845995889744138,0.343041909839808,0.0167842144207345,0.113949802097775,0.00711423128440261,0.163018427103755,0.00708434280022178
2016-02-08,3,0.0565363557212944,0.00232484914469943,1.15945468936275,0.0511332043069004,0.484186162919339,0.0270819500562305,0.460859291132983,0.017892413305722
2016-02-29,3,0.148009288531533,0.00453838697015438,3.24915687749462,0.113343957667315,1.76408576547978,0.0683944684480673,1.14214248784525,0.0315896657246749
2016-01-08,4,0.00272519495832559,0.000125484111185529,0.0585035310510803,0.00274480827123916,0.0142187887267278,0.000829155561007252,0.0267033823754195,0.00109973313279094
2016-01-18,4,0.00730749530820231,0.000419843923013793,0.132753167351869,0.00803726867074749,0.0327947337035058,0.00248960271275867,0.0443778117187511,0.00278126370084374
2016-01-28,4,0.0216929169320161,0.00121050863323016,0.414780294718366,0.0244653259088252,0.145422662097704,0.0107882286568131,0.130034200907269,0.00805418746456442
2016-02-08,4,0.0686927507483919,0.00244983708722562,1.39288415411218,0.052191080175139,0.647376880654744,0.0302728306228688,0.449921580746052,0.0176744820140523
2016-02-29,4,0.175449019050222,0.00579926621282806,3.73606003777793,0.129342794650763,2.19266542224496,0.0979308773634365,1.24172847792481,0.0440477415709049
2016-01-08,5,0.00272519495832559,0.000125484111185529,0.0585035310510803,0.00274480827123916,0.0142187887267278,0.000829155561007252,0.0267033823754195,0.00109973313279094
2016-01-18,5,0.00633285417877849,0.000302486677226764,0.15861335240091,0.00730310832201864,0.0499562524453736,0.00287233268372017,0.0373720294419525,0.00188243192960949
2016-01-28,5,0.0200454242120526,0.000971511230570124,0.439478263482094,0.0210088122757773,0.197103859810375,0.0113465529131626,0.117178358330108,0.00605027054471044
2016-02-08,5,0.0514556413864102,0.00200497943568442,1.094381924,0.0418168327477638,0.615571443306997,0.0286177052607952,0.318287693108425,0.0131633112252335
2016-02-29,5,0.140799359124673,0.00656521369246207,3.03136760961471,0.124936866842413,2.11172345527821,0.114753141123062,0.961902108548286,0.0438757976442354
2016-01-08,6,0.00272519495832559,0.000125484111185529,0.0585035310510803,0.00274480827123916,0.0142187887267278,0.000829155561007252,0.0267033823754195,0.00109973313279094
2016-01-18,6,0.00721106550823492,0.000358798576898869,0.141211349053548,0.0072447926867303,0.0642382595168025,0.00403530589880978,0.0426380148385137,0.00219435166960388
2016-01-28,6,0.0194054842652295,0.000936863368568237,0.382896754487714,0.0194745196594101,0.227398809024809,0.0138830146619097,0.119145970097861,0.00580990434949899
2016-02-08,6,0.0384863210755183,0.00156927136960712,0.805667477002926,0.0356622627206759,0.549011772368975,0.0282906689634431,0.230123962889461,0.00941399760974732
2016-02-29,6,0.0853368465658165,0.00433682756894022,1.95221422717478,0.11233223703129,1.54578768257339,0.0996485161194468,0.485179623429153,0.0235646870218266
