"Room","Vcmax25","EaV","delsV","Vcmax25.se","EaV.se","delsV.se","ToptV","Jmax25","EaJ","delsJ","Jmax25.se","EaJ.se","delsJ.se","ToptJ","Tgrowth","Date"
"1",115.034588971435,58.8715414480135,0.629270353489272,7.75685960080113,8.51493746421017,0.00391215395768387,41.0489377408838,210.650350862361,42.7463521793887,0.631284905227567,12.4311060122681,8.37655696290297,0.00365221485544256,38.3209176054384,18,2016-02-16
"4",69.0638543538137,57.7116684609242,0.628845158791358,5.94161541418521,5.3108201050748,0.00256000939348402,41.1435948939247,97.803973286381,32.672770601723,0.624974014970086,8.47769724733353,3.41125829808242,0.00254186239564016,40.0575652051575,28.5,2016-02-16
"6",51.8983103977943,82.5470573969027,0.63254188507317,5.81601832189971,13.5311274993133,0.00431275139993482,41.5757121338069,75.5975931552724,50.9975538362866,0.630937919724028,5.0001902103531,8.84111154842456,0.00370464180307869,39.4222499645157,35.5,2016-02-16
"2",115.034588971435,58.8715414480135,0.629270353489272,NA,NA,NA,NA,210.650350862361,42.7463521793887,0.631284905227567,NA,NA,NA,NA,22.5,2016-02-16
"3",69.0638543538137,57.7116684609242,0.628845158791358,NA,NA,NA,NA,97.803973286381,32.672770601723,0.624974014970086,NA,NA,NA,NA,25,2016-02-16
"5",51.8983103977943,82.5470573969027,0.63254188507317,NA,NA,NA,NA,75.5975931552724,50.9975538362866,0.630937919724028,NA,NA,NA,NA,32.5,2016-02-16
"1",99.9166979651811,58.8715414480135,0.629270353489272,NA,NA,NA,NA,182.966598755791,42.7463521793887,0.631284905227567,NA,NA,NA,NA,18,2016-02-03
"2",99.9166979651811,58.8715414480135,0.629270353489272,NA,NA,NA,NA,182.966598755791,42.7463521793887,0.631284905227567,NA,NA,NA,NA,21.5,2016-02-03
"3",98.2640519746061,57.7116684609242,0.628845158791358,NA,NA,NA,NA,139.155493191863,32.672770601723,0.624974014970086,NA,NA,NA,NA,25,2016-02-03
"4",98.2640519746061,57.7116684609242,0.628845158791358,NA,NA,NA,NA,139.155493191863,32.672770601723,0.624974014970086,NA,NA,NA,NA,28.5,2016-02-03
"5",73.8409160339818,82.5470573969027,0.63254188507317,NA,NA,NA,NA,107.560255541322,50.9975538362866,0.630937919724028,NA,NA,NA,NA,32.5,2016-02-03
"6",73.8409160339818,82.5470573969027,0.63254188507317,NA,NA,NA,NA,107.560255541322,50.9975538362866,0.630937919724028,NA,NA,NA,NA,35.5,2016-02-03
"1",101.07961265797,58.8715414480135,0.629270353489272,NA,NA,NA,NA,185.096118148604,42.7463521793887,0.631284905227567,NA,NA,NA,NA,18,2016-02-04
"1",113.871674278646,58.8715414480135,0.629270353489272,NA,NA,NA,NA,208.520831469548,42.7463521793887,0.631284905227567,NA,NA,NA,NA,18,2016-02-15
"1",111.545844893069,58.8715414480135,0.629270353489272,NA,NA,NA,NA,204.261792683922,42.7463521793887,0.631284905227567,NA,NA,NA,NA,18,2016-02-13
"1",109.220015507491,58.8715414480135,0.629270353489272,NA,NA,NA,NA,200.002753898296,42.7463521793887,0.631284905227567,NA,NA,NA,NA,18,2016-02-11
"1",106.894186121914,58.8715414480135,0.629270353489272,NA,NA,NA,NA,195.74371511267,42.7463521793887,0.631284905227567,NA,NA,NA,NA,18,2016-02-09
"1",104.568356736336,58.8715414480135,0.629270353489272,NA,NA,NA,NA,191.484676327044,42.7463521793887,0.631284905227567,NA,NA,NA,NA,18,2016-02-07
"1",102.242527350759,58.8715414480135,0.629270353489272,NA,NA,NA,NA,187.225637541417,42.7463521793887,0.631284905227567,NA,NA,NA,NA,18,2016-02-05
"1",115.034588971435,58.8715414480135,0.629270353489272,NA,NA,NA,NA,210.650350862361,42.7463521793887,0.631284905227567,NA,NA,NA,NA,18,2016-02-16
"1",112.708759585858,58.8715414480135,0.629270353489272,NA,NA,NA,NA,206.391312076735,42.7463521793887,0.631284905227567,NA,NA,NA,NA,18,2016-02-14
"1",110.38293020028,58.8715414480135,0.629270353489272,NA,NA,NA,NA,202.132273291109,42.7463521793887,0.631284905227567,NA,NA,NA,NA,18,2016-02-12
"1",108.057100814703,58.8715414480135,0.629270353489272,NA,NA,NA,NA,197.873234505483,42.7463521793887,0.631284905227567,NA,NA,NA,NA,18,2016-02-10
"1",105.731271429125,58.8715414480135,0.629270353489272,NA,NA,NA,NA,193.614195719857,42.7463521793887,0.631284905227567,NA,NA,NA,NA,18,2016-02-08
"1",103.405442043547,58.8715414480135,0.629270353489272,NA,NA,NA,NA,189.355156934231,42.7463521793887,0.631284905227567,NA,NA,NA,NA,18,2016-02-06
"2",103.405442043547,58.8715414480135,0.629270353489272,NA,NA,NA,NA,189.355156934231,42.7463521793887,0.631284905227567,NA,NA,NA,NA,21.5,2016-02-06
"2",101.07961265797,58.8715414480135,0.629270353489272,NA,NA,NA,NA,185.096118148604,42.7463521793887,0.631284905227567,NA,NA,NA,NA,21.5,2016-02-04
"2",113.871674278646,58.8715414480135,0.629270353489272,NA,NA,NA,NA,208.520831469548,42.7463521793887,0.631284905227567,NA,NA,NA,NA,21.5,2016-02-15
"2",111.545844893069,58.8715414480135,0.629270353489272,NA,NA,NA,NA,204.261792683922,42.7463521793887,0.631284905227567,NA,NA,NA,NA,21.5,2016-02-13
"2",109.220015507491,58.8715414480135,0.629270353489272,NA,NA,NA,NA,200.002753898296,42.7463521793887,0.631284905227567,NA,NA,NA,NA,21.5,2016-02-11
