"Room","Intercept","Intercept.se","Slope","Slope.se","Pr_Int","Pr_Sl","Rsq","AIC","Pvalue","self_s.mean","self_s.std.error"
"1",0.901737425410696,0.00621311532537802,-0.0235990711966663,0.00378103855645836,4.73249762432184e-77,5.12270400204758e-08,0.387476308100964,-248.855752263205,5.12270400204753e-08,0.871551844419184,0.00498358881075434
"2",0.919776274992917,0.00503661054405664,-0.0192545473507574,0.00306506762930305,6.33063979337402e-83,4.38288044411039e-08,0.390632024365093,-274.467101012639,4.38288044411019e-08,0.895147776113973,0.00405035220695069
"3",0.923335558159582,0.00468096044748769,-0.0176799244529522,0.00284863405977914,6.7493706454698e-85,5.86032266163478e-08,0.384742266392656,-283.401164922763,5.86032266163445e-08,0.900721160031328,0.00374628370910336
"4",0.922082002241237,0.00409940062391633,-0.0159648808617556,0.00249472140877315,2.94591120757751e-88,2.78508002594138e-08,0.399718736420527,-299.585994676044,2.78508002594115e-08,0.901661317026285,0.00332152252362775
"5",0.893260688731637,0.00541771459898836,-0.0243430915577695,0.00329699139866135,2.59970559096702e-80,6.06188651242803e-10,0.471435388111483,-265.568333041117,6.06188651242807e-10,0.862123431011738,0.00467801181505405
"6",0.889129349458653,0.00583702245854192,-0.0260142422192407,0.00355216438370514,2.74893591828388e-78,7.6596903361995e-10,0.467298869355668,-256.473629784253,7.6596903361995e-10,0.855854522288649,0.00502046319899525
