"Room","alpha.mean","alpha.std.error","Tgrowth"
1,0.180140486218251,0.00408827069696238,18
2,0.202626459006697,0.00492678316991248,21.5
3,0.192818235023796,0.005963304805021,25
4,0.194766072542615,0.00398543800120683,28.5
5,0.159208010978347,0.00343380275879282,32
6,0.135661921831737,0.00260154605471621,35.5
