Room,Date,leafarea_p,Intercept,Slope,sigma
2,2/02/2016,197.3401859,0.919776275,-0.019254547,0.919439924
2,3/02/2016,221.7658714,0.919776275,-0.019254547,0.919396305
2,4/02/2016,247.8972585,0.919776275,-0.019254547,0.919349275
2,5/02/2016,275.6677674,0.919776275,-0.019254547,0.91929896
2,6/02/2016,305.0108185,0.919776275,-0.019254547,0.919245489
2,7/02/2016,335.8598322,0.919776275,-0.019254547,0.91918899
2,8/02/2016,368.148229,0.919776275,-0.019254547,0.919129592
2,9/02/2016,401.816147,0.919776275,-0.019254547,0.919067422
2,10/02/2016,436.8305961,0.919776275,-0.019254547,0.919002596
2,11/02/2016,473.1653038,0.919776275,-0.019254547,0.918935177
2,12/02/2016,510.7939979,0.919776275,-0.019254547,0.918865217
2,13/02/2016,549.690406,0.919776275,-0.019254547,0.918792764
2,14/02/2016,589.8282557,0.919776275,-0.019254547,0.918717871
2,15/02/2016,631.1812748,0.919776275,-0.019254547,0.918640587
2,16/02/2016,673.7231907,0.919776275,-0.019254547,0.918560964
2,17/02/2016,717.4277313,0.919776275,-0.019254547,0.918479051
2,18/02/2016,762.2686241,0.919776275,-0.019254547,0.9183949
2,19/02/2016,808.2195968,0.919776275,-0.019254547,0.918308561
2,20/02/2016,855.254377,0.919776275,-0.019254547,0.918220085
2,21/02/2016,903.3466924,0.919776275,-0.019254547,0.918129521
2,22/02/2016,952.4702707,0.919776275,-0.019254547,0.918036922
2,23/02/2016,1002.598839,0.919776275,-0.019254547,0.917942337
2,24/02/2016,1053.706126,0.919776275,-0.019254547,0.917845816
2,25/02/2016,1105.765859,0.919776275,-0.019254547,0.917747412
2,26/02/2016,1158.751765,0.919776275,-0.019254547,0.917647173
2,27/02/2016,1212.637572,0.919776275,-0.019254547,0.917545151
2,28/02/2016,1267.397008,0.919776275,-0.019254547,0.917441396
2,29/02/2016,1323.003801,0.919776275,-0.019254547,0.917335959
2,1/03/2016,1379.431677,0.919776275,-0.019254547,0.917228891
3,7/01/2016,32.33758926,0.923335558,-0.017679924,0.920896733
3,8/01/2016,37.5344942,0.923335558,-0.017679924,0.923278386
3,9/01/2016,41.98958327,0.923335558,-0.017679924,0.923269197
3,10/01/2016,45.84078037,0.923335558,-0.017679924,0.923261321
3,11/01/2016,49.22600939,0.923335558,-0.017679924,0.923254512
3,12/01/2016,52.28319423,0.923335558,-0.017679924,0.923248527
3,13/01/2016,55.15025879,0.923335558,-0.017679924,0.923243122
3,14/01/2016,57.96512697,0.923335558,-0.017679924,0.923238053
3,15/01/2016,60.86572265,0.923335558,-0.017679924,0.923233076
3,16/01/2016,63.98996974,0.923335558,-0.017679924,0.923227948
3,17/01/2016,67.47579214,0.923335558,-0.017679924,0.923222424
3,18/01/2016,71.46111374,0.923335558,-0.017679924,0.923216261
3,19/01/2016,76.09939243,0.923335558,-0.017679924,0.923209215
3,20/01/2016,81.60622209,0.923335558,-0.017679924,0.923201015
3,21/01/2016,88.21273057,0.923335558,-0.017679924,0.923191279
3,22/01/2016,96.15004575,0.923335558,-0.017679924,0.923179599
3,23/01/2016,105.6492955,0.923335558,-0.017679924,0.923165566
3,24/01/2016,116.9416077,0.923335558,-0.017679924,0.923148771
3,25/01/2016,130.2581101,0.923335558,-0.017679924,0.923128806
3,26/01/2016,145.8299307,0.923335558,-0.017679924,0.923105263
3,27/01/2016,163.8881974,0.923335558,-0.017679924,0.923077732
3,28/01/2016,184.6640379,0.923335558,-0.017679924,0.923045805
3,29/01/2016,208.3184847,0.923335558,-0.017679924,0.923009074
3,30/01/2016,234.7321877,0.923335558,-0.017679924,0.922967253
3,31/01/2016,263.7157018,0.923335558,-0.017679924,0.922920553
3,1/02/2016,295.0795813,0.923335558,-0.017679924,0.922869311
3,2/02/2016,328.6343809,0.923335558,-0.017679924,0.92281386
3,3/02/2016,364.1906552,0.923335558,-0.017679924,0.922754535
3,4/02/2016,401.5589587,0.923335558,-0.017679924,0.922691672
3,5/02/2016,440.5498461,0.923335558,-0.017679924,0.922625605
3,6/02/2016,480.9738719,0.923335558,-0.017679924,0.922556669
3,7/02/2016,522.6415908,0.923335558,-0.017679924,0.9224852
3,8/02/2016,565.3635572,0.923335558,-0.017679924,0.922411532
3,9/02/2016,608.9621544,0.923335558,-0.017679924,0.922336
3,10/02/2016,653.30708,0.923335558,-0.017679924,0.922258918
3,11/02/2016,698.2798602,0.923335558,-0.017679924,0.922180516
3,12/02/2016,743.7620211,0.923335558,-0.017679924,0.922101005
3,13/02/2016,789.6350889,0.923335558,-0.017679924,0.922020593
3,14/02/2016,835.7805898,0.923335558,-0.017679924,0.921939489
3,15/02/2016,882.0800501,0.923335558,-0.017679924,0.921857904
3,16/02/2016,928.4149958,0.923335558,-0.017679924,0.921776047
3,17/02/2016,974.6669533,0.923335558,-0.017679924,0.921694127
3,18/02/2016,1020.717449,0.923335558,-0.017679924,0.921612354
3,19/02/2016,1066.448008,0.923335558,-0.017679924,0.921530937
3,20/02/2016,1111.740157,0.923335558,-0.017679924,0.921450086
3,21/02/2016,1156.475423,0.923335558,-0.017679924,0.92137001
3,22/02/2016,1200.535332,0.923335558,-0.017679924,0.921290918
3,23/02/2016,1243.80141,0.923335558,-0.017679924,0.921213021
3,24/02/2016,1286.155182,0.923335558,-0.017679924,0.921136527
3,25/02/2016,1327.478175,0.923335558,-0.017679924,0.921061646
3,26/02/2016,1367.651916,0.923335558,-0.017679924,0.920988587
3,27/02/2016,1406.557931,0.923335558,-0.017679924,0.92091756
3,28/02/2016,1444.077745,0.923335558,-0.017679924,0.920848774
3,29/02/2016,1480.092885,0.923335558,-0.017679924,0.92078244
3,1/03/2016,1514.484878,0.923335558,-0.017679924,0.920718765
4,7/01/2016,29.3945606,0.922082002,-0.015964881,0.919664145
4,8/01/2016,34.62435915,0.922082002,-0.015964881,0.922035074
4,9/01/2016,39.12475599,0.922082002,-0.015964881,0.922026725
4,10/01/2016,43.05496142,0.922082002,-0.015964881,0.92201954
4,11/01/2016,46.57418579,0.922082002,-0.015964881,0.922013266
4,12/01/2016,49.8416394,0.922082002,-0.015964881,0.922007647
4,13/01/2016,53.01653257,0.922082002,-0.015964881,0.922002431
4,14/01/2016,56.25807563,0.922082002,-0.015964881,0.921997362
4,15/01/2016,59.72547889,0.922082002,-0.015964881,0.921992187
4,16/01/2016,63.57795267,0.922082002,-0.015964881,0.921986651
4,17/01/2016,67.97470729,0.922082002,-0.015964881,0.921980501
4,18/01/2016,73.07495308,0.922082002,-0.015964881,0.921973481
4,19/01/2016,79.05703383,0.922082002,-0.015964881,0.921965339
4,20/01/2016,86.17582722,0.922082002,-0.015964881,0.921955789
4,21/01/2016,94.70534442,0.922082002,-0.015964881,0.921944424
4,22/01/2016,104.9195966,0.922082002,-0.015964881,0.921930806
4,23/01/2016,117.0925949,0.922082002,-0.015964881,0.921914499
4,24/01/2016,131.4983505,0.922082002,-0.015964881,0.921895065
4,25/01/2016,148.4108746,0.922082002,-0.015964881,0.921872067
4,26/01/2016,168.1041783,0.922082002,-0.015964881,0.921845066
4,27/01/2016,190.8522728,0.922082002,-0.015964881,0.921813626
4,28/01/2016,216.9291693,0.922082002,-0.015964881,0.921777309
4,29/01/2016,246.5225411,0.922082002,-0.015964881,0.921735677
4,30/01/2016,279.4747102,0.922082002,-0.015964881,0.921688432
4,31/01/2016,315.5416609,0.922082002,-0.015964881,0.921635824
