Room,Prov,W_treatment,Code,Punchno,Puncharea,Punchmass
1,A,w,A-01,4,3.16,11.56
1,A,w,A-02,4,3.16,12.53
1,A,w,A-03,4,3.16,11.56
1,A,w,A-04,4,3.16,17.92
1,A,w,A-05,4,3.16,13.08
1,A,w,A-06,4,3.16,11.96
1,A,w,A-07,4,3.16,13.38
1,A,w,A-08,,,
1,A,w,A-09,4,3.16,16.08
1,A,w,A-10,4,3.16,14.13
1,A,w,A-11,4,3.16,16.53
1,A,w,A-12,4,3.16,11.75
1,A,w,A-13,4,3.16,13.58
1,A,w,A-14,4,3.16,13.19
1,A,w,A-15,4,3.16,9.99
1,B,w,B-01,4,3.16,10.4
1,B,w,B-02,4,3.16,9.35
1,B,w,B-03,4,3.16,8.51
1,B,w,B-04,4,3.16,13.99
1,B,w,B-05,4,3.16,12.18
1,B,w,B-06,4,3.16,13.77
1,B,w,B-07,4,3.16,13.05
1,B,w,B-08,4,3.16,8.89
1,B,w,B-09,4,3.16,13.72
1,B,w,B-10,4,3.16,9.74
1,B,w,B-11,4,3.16,10.73
1,B,w,B-12,4,3.16,10.34
1,B,w,B-13,4,3.16,
1,B,w,B-14,4,3.16,11.18
1,B,w,B-15,3,2.37,13.38
1,B,d,B-01,4,3.16,13.19
1,B,d,B-02,4,3.16,10.21
1,B,d,B-03,4,3.16,15.24
1,B,d,B-04,4,3.16,12.4
1,B,d,B-05,4,3.16,11.97
1,B,d,B-06,4,3.16,
1,B,d,B-07,4,3.16,12.42
1,B,d,B-08,4,3.16,14.53
1,B,d,B-09,4,3.16,8.87
1,B,d,B-10,4,3.16,9.76
1,B,d,B-11,4,3.16,14.04
1,B,d,B-12,4,3.16,9.99
1,B,d,B-13,4,3.16,12.92
1,B,d,B-14,4,3.16,10.4
1,B,d,B-15,4,3.16,10.47
1,C,w,C-01,4,3.16,8.57
1,C,w,C-02,4,3.16,12.04
1,C,w,C-03,4,3.16,10.5
1,C,w,C-04,4,3.16,
1,C,w,C-05,4,3.16,14.35
1,C,w,C-06,4,3.16,12.69
1,C,w,C-07,4,3.16,12.81
1,C,w,C-08,4,3.16,12.62
1,C,w,C-09,4,3.16,20.77
1,C,w,C-10,4,3.16,14.91
1,C,w,C-11,4,3.16,9.45
1,C,w,C-12,4,3.16,14.24
1,C,w,C-13,4,3.16,13.12
1,C,w,C-14,4,3.16,15.07
1,C,w,C-15,4,3.16,14.6
2,A,w,A-16,4,3.16,6.98
2,A,w,A-17,4,3.16,8.48
2,A,w,A-18,4,3.16,7.26
2,A,w,A-19,4,3.16,7.94
2,A,w,A-20,4,3.16,9.5
2,A,w,A-21,4,3.16,7.47
2,A,w,A-22,4,3.16,6.99
2,A,w,A-23,4,3.16,7.52
2,A,w,A-24,4,3.16,8.73
2,A,w,A-25,4,3.16,6.48
2,A,w,A-26,4,3.16,5.82
2,A,w,A-27,4,3.16,7.34
2,A,w,A-28,4,3.16,8.12
2,A,w,A-29,4,3.16,6.38
2,A,w,A-30,4,3.16,
2,B,w,B-16,4,3.16,8.16
2,B,w,B-17,4,3.16,6.39
2,B,w,B-18,4,3.16,9.04
2,B,w,B-19,4,3.16,7.56
2,B,w,B-20,4,3.16,7.64
2,B,w,B-21,4,3.16,7.75
2,B,w,B-22,4,3.16,7.88
2,B,w,B-23,4,3.16,9.89
2,B,w,B-24,4,3.16,7.55
2,B,w,B-25,4,3.16,
2,B,w,B-26,4,3.16,8.08
2,B,w,B-27,4,3.16,6.48
2,B,w,B-28,4,3.16,6.85
2,B,w,B-29,4,3.16,8.2
2,B,w,B-30,4,3.16,6.62
2,B,d,B-16,4,3.16,6.1
2,B,d,B-17,4,3.16,7.53
2,B,d,B-18,4,3.16,7.39
2,B,d,B-19,4,3.16,8.16
2,B,d,B-20,4,3.16,6.96
2,B,d,B-21,4,3.16,9.71
2,B,d,B-22,4,3.16,
2,B,d,B-23,4,3.16,8.83
2,B,d,B-24,4,3.16,9.17
2,B,d,B-25,4,3.16,8.1
2,B,d,B-26,4,3.16,7.1
2,B,d,B-27,4,3.16,6.36
2,B,d,B-28,4,3.16,5.75
2,B,d,B-29,4,3.16,7.52
2,B,d,B-30,4,3.16,7.73
2,C,w,C-16,4,3.16,7.55
2,C,w,C-17,5,3.95,9.68
2,C,w,C-18,4,3.16,7.59
2,C,w,C-19,4,3.16,10.01
2,C,w,C-20,4,3.16,9.06
2,C,w,C-21,4,3.16,
2,C,w,C-22,4,3.16,7.81
