Room,Prov,Code,W_treatment,Leafsize,Leafno,Leafarea
1,A,A-01,w,small,4,3.79
1,A,A-01,w,large,4,3.38
1,A,A-02,w,small,6,2.42
1,A,A-02,w,large,2,12.38
1,A,A-03,w,small,8,6.36
1,A,A-03,w,large,0,12.53
1,A,A-04,w,small,4,5.99
1,A,A-04,w,large,4,12.83
1,A,A-05,w,small,4,5.32
1,A,A-05,w,large,2,20.82
1,A,A-06,w,small,4,2.01
1,A,A-06,w,large,4,9.06
1,A,A-07,w,small,6,6.07
1,A,A-07,w,large,0,0
1,A,A-08,w,small,4,3.07
1,A,A-08,w,large,2,7.6
1,A,A-09,w,small,4,7.13
1,A,A-09,w,large,4,13.32
1,A,A-10,w,small,4,8.45
1,A,A-10,w,large,6,27.55
1,A,A-11,w,small,4,3.43
1,A,A-11,w,large,4,14.39
1,A,A-12,w,small,6,4.46
1,A,A-12,w,large,4,10.68
1,A,A-13,w,small,2,5.75
1,A,A-13,w,large,6,13.04
1,A,A-14,w,small,6,3.28
1,A,A-14,w,large,4,14.54
1,A,A-15,w,small,8,6.13
1,A,A-15,w,large,2,20.41
1,B,B-01,w,small,3,4.55
1,B,B-01,w,large,6,9.11
1,B,B-02,w,small,10,3.78
1,B,B-02,w,large,0,0
1,B,B-03,w,small,6,1.2
1,B,B-03,w,large,2,12.85
1,B,B-04,w,small,4,5.22
1,B,B-04,w,large,6,12.65
1,B,B-05,w,small,4,3.86
1,B,B-05,w,large,4,11.02
1,B,B-06,w,small,2,8.44
1,B,B-06,w,large,8,13.5
1,B,B-07,w,small,8,5.42
1,B,B-07,w,large,0,0
1,B,B-08,w,small,6,2.99
1,B,B-08,w,large,4,9.05
1,B,B-09,w,small,4,8.35
1,B,B-09,w,large,8,22.75
1,B,B-10,w,small,8,3.49
1,B,B-10,w,large,2,11.53
1,B,B-11,w,small,4,5.13
1,B,B-11,w,large,4,15.12
1,B,B-12,w,small,6,2.5
1,B,B-12,w,large,0,4
1,B,B-13,w,small,6,4.17
1,B,B-13,w,large,2,10.32
1,B,B-14,w,small,2,5
1,B,B-14,w,large,8,14.88
1,B,B-15,w,small,6,3.51
1,B,B-15,w,large,2,13.25
1,B,B-01,d,small,6,4.95
1,B,B-01,d,large,2,8.82
1,B,B-02,d,small,8,5.25
1,B,B-02,d,large,2,10.81
1,B,B-03,d,small,6,2.22
1,B,B-03,d,large,6,12.86
1,B,B-04,d,small,8,3.96
1,B,B-04,d,large,2,9.13
1,B,B-05,d,small,4,4.13
1,B,B-05,d,large,4,7.38
1,B,B-06,d,small,2,2.82
1,B,B-06,d,large,2,6.64
1,B,B-07,d,small,4,1.38
1,B,B-07,d,large,6,14.36
1,B,B-08,d,small,2,3.08
1,B,B-08,d,large,10,27.18
1,B,B-09,d,small,2,3.34
