Prov,Pot,W_treatment,Code,Height,D1,D2,Leafarea,Leafno,Leafmass,Stemmass,Rootmass
A,85,w,A-85,56.7,2.91,2.88,361.2,37,1.5,1.17,0.58
B,81,d,B-81,49,2.15,2.15,162.2,14,0.85,0.62,0.41
B,87,w,B-87,59.5,3.07,3.03,497,21,2.17,1.33,0.66
C,85,w,C-85,38.4,2.53,2.62,181,18,1.1,0.59,0.28
A,66,w,A-66,70.2,3.82,3.78,680.6,46,2.62,2.1,1.16
B,63,d,B-63,55.2,3.82,2.81,391.6,23,2.18,1.21,0.62
B,72,w,B-72,50,3.18,3.19,403.9,24,1.64,0.95,0.48
C,74,w,C-74,64,4.06,4.06,519,26,2.29,1.48,0.91
A,56,w,A-56,67.2,4.09,4.07,856.1,36,3.64,1.84,1.13
B,52,d,B-52,35.7,2.95,2.98,387.9,21,1.5,0.49,0.65
B,60,w,B-60,49.3,3.35,3.12,613.3,21,2.38,0.79,0.59
C,51,w,C-51,63.8,4.16,4.27,612.5,24,3.39,1.47,1.32
A,31,w,A-31,40.7,3.55,3.64,433.9,24,1.78,0.64,0.69
B,44,d,B-44,40.1,3.15,3.14,378.7,24,1.95,0.68,1.04
B,34,w,B-34,50,4.21,4.1,700,26,3.55,1.12,1.69
C,40,w,C-40,49.5,3.18,3.15,548.1,28,2.64,1.03,0.93
A,18,w,A-18,38.6,3.38,3.25,338,23,1.39,0.53,0.79
B,25,d,B-25,31,2.74,2.74,364.4,19,1.69,0.43,0.98
B,19,w,B-19,34.6,2.89,2.81,342.7,37,1.32,0.54,0.66
C,28,w,C-28,42.7,3.58,3.6,410,20,1.67,0.69,0.98
A,13,w,A-13,27.7,2.55,2.52,168.6,28,1.17,0.38,0.61
B,12,d,B-12,21.8,1.97,1.99,197.3,23,1.07,0.22,0.77
B,5,w,B-05,22.5,2.23,2.03,133.8,16,0.78,0.19,0.31
C,5,w,C-05,26.8,2.66,2.51,159.1,24,0.93,0.3,0.54
