Date,Prov,Pot,W_treatment,Code,Room,Height,D1,D2,Leafno,Leafarea,Leafarea_sub,Leafmass,Leafmass_sub,Stemmass,Stemmass_sub,Rootmass,Rootmass_sub
19/02/2016,A,29,w,A-29,2,46,3.62,3.84,20,549.8,129,1516.3,531.5,3395.1,2898.5,848.4,
19/02/2016,A,47,w,A-47,4,66,6.54,6.08,61,1528.2,128.58,7186,907.3,3893.9,3753.6,2096.4,
19/02/2016,A,80,w,A-80,6,66,4.89,5.04,52,748.2,127.88,3174.8,760.2,3411.5,2947.2,1567.8,
19/02/2016,B,20,d,B-20,2,33,3.91,4.28,33,504.8,123.92,2152.5,744.7,923.3,881.9,1624.5,
19/02/2016,B,53,d,B-53,4,49.5,3.6,3.71,28,403,114.97,1806.9,756.5,1066.28,1007.3,868.1,
19/02/2016,B,77,d,B-77,6,42.5,2.85,2.98,19,236.5,81.36,914.3,434,962.5,879,395.6,
19/02/2016,B,26,w,B-26,2,47.5,5.3,5.26,33,719.2,133.12,2499.9,584.5,1509.3,1326.7,1310.4,
19/02/2016,B,57,w,B-57,4,64,5.26,5.35,63,1265.9,116.336,5824.4,675.2,818.7,748.2,1698.9,
19/02/2016,B,81,w,B-81,6,65.6,4.09,4.11,22,508.8,130.03,2005,782.7,2558.6,2519.8,583.4,
19/02/2016,C,25,w,C-25,2,49.5,4,4.17,42,676.7,134.9,1963.3,540.8,1295.8,1139.6,964.9,
19/02/2016,C,47,w,C-47,4,64.5,5.34,5.18,34,793.3,140.66,3739,881.1,2054,1897.7,1424.1,
19/02/2016,C,83,w,C-83,6,77,4,4.19,29,595.6,119.5,2640.9,721.9,2424.2,2320.2,955.5,
22/02/2016,A,14,w,A-14,1,44.5,4.18,4.08,22,504.3,117.8,1691.2,800,1097.4,977,1451.1,
22/02/2016,A,41,w,A-41,3,51,5.18,5.14,65,1283.7,118.5,5689.9,682.3,2801.6,2703.9,1768,
22/02/2016,A,72,w,A-72,5,75,5.41,5.04,52,1374.45,202.08,3851.9,752.9,3461.8,3346.4,1937,
22/02/2016,B,8,d,B-08,1,34.5,4.39,4.77,25,329.9,117.8,659.5,997.5,1007.3,913.7,347.3,
22/02/2016,B,40,d,B-40,3,51,3.75,3.87,24,557,135.7,4676.8,546.8,1050.6,1024.4,999.7,
22/02/2016,B,65,d,B-65,5,59,3.72,3.5,23,433.5,155.46,1771.5,1003.2,1526.4,1457.7,883.3,
22/02/2016,B,8,w,B-08,1,32,3.7,3.82,23,210.6,63.16,1503.6,374.4,573.8,533.2,844.9,
22/02/2016,B,38,w,B-38,3,65,6.21,6.21,27,1071.9,192.6,5396.9,1181.4,3020.2,2931.7,2983.7,
22/02/2016,B,68,w,B-68,5,73.5,5.21,5.07,60,1386.91,168.64,8009.9,1094.8,3819.2,3756.6,1836.2,
22/02/2016,C,9,w,C-09,1,23.9,2.98,2.97,10,122.8,49.49,444.5,480.5,336.6,289.8,1687.9,
22/02/2016,C,33,w,C-33,3,73,5.53,5.48,45,1079,190,4006.9,936.3,2682.3,2544.7,2075.6,
22/02/2016,C,64,w,C-64,5,70.5,4.5,4.37,27,505.68,123.65,2262.4,784.6,2140.8,2097.6,1247.1,
23/02/2016,A,2,w,A-02,1,40,3.43,3.5,18,391.83,105.74,1397.1,582.9,860.3,833.4,858.2,
23/02/2016,A,19,w,A-19,2,63,5.68,5.2,39,912.5,112.62,4074.8,618.8,2339.4,2214.8,1453.8,
23/02/2016,A,22,w,A-22,2,58,4.95,4.78,41,865.96,105.69,2984.8,515.8,1959.9,1869.8,1477.9,
23/02/2016,A,36,w,A-36,3,66,5.47,5.06,49,1221.09,139.59,5020.7,688.3,2734.1,2658.2,2251.4,
23/02/2016,A,39,w,A-39,3,61.5,6.76,6.03,59,1387.61,152.6,6084.9,646.3,3052.1,2939.8,1939.7,
23/02/2016,A,51,w,A-51,4,72.5,5.52,5.35,73,1498.75,126.0800018,5986.1,640.8,3618.12,3568.2,2014.8,
23/02/2016,A,59,w,A-59,4,82,6.1,6.52,56,1382.62,131.78,5100,590.5,5033.8,4951.2,1966.9,
