"Tgrowth","Room","Rd.mean","Rd.std.error"
22.5,2,1.23976799384053,NA
25,3,1.19847828338353,NA
32.5,5,1.10673725242607,NA
18,1,1.32758327483683,0.410247846950539
25.8,4,1.18639648517185,0.243256540788306
35.5,6,1.08353464221678,0.258048491198937
