"Room","Vcmax25","Jmax25","Date"
1,91.4062671982145,162.127212890037,2016-02-03
2,105.01855561582,165.738461461339,2016-02-03
3,111.83607274774,167.974737655915,2016-02-03
4,107.62350232901,154.350555289773,2016-02-03
5,68.3976212834753,96.5941919446741,2016-02-03
6,57.8073562092407,82.9357778457717,2016-02-03
1,119.318070292852,211.634352621014,2016-02-26
2,58.7294639948371,92.6858205949949,2016-02-26
3,61.3251264169607,92.1086709190879,2016-02-26
4,51.0055391598067,73.1506884816212,2016-02-26
5,39.7655341101095,56.1586728096114,2016-02-26
6,41.9394898057163,60.1702696262709,2016-02-26
1,92.619823854503,164.279697226166,2016-02-04
2,103.005986414908,162.562259684542,2016-02-04
3,109.639944646402,164.676213015183,2016-02-04
4,105.161851756436,150.820126298114,2016-02-04
5,67.1527479281115,94.8361258953236,2016-02-04
6,57.1174489743048,81.945973140576,2016-02-04
1,93.8333805107916,166.432181562296,2016-02-05
2,100.993417213996,159.386057907744,2016-02-05
3,107.443816545064,161.377688374452,2016-02-05
4,102.700201183861,147.289697306455,2016-02-05
5,65.9078745727478,93.078059845973,2016-02-05
6,56.427541739369,80.9561684353803,2016-02-05
1,95.0469371670802,168.584665898425,2016-02-06
2,98.9808480130832,156.209856130946,2016-02-06
3,105.247688443725,158.07916373372,2016-02-06
4,100.238550611287,143.759268314796,2016-02-06
5,64.6630012173841,91.3199937966225,2016-02-06
6,55.7376345044331,79.9663637301846,2016-02-06
1,96.2604938233688,170.737150234555,2016-02-07
2,96.9682788121709,153.033654354149,2016-02-07
3,103.051560342387,154.780639092988,2016-02-07
4,97.7769000387134,140.228839323138,2016-02-07
5,63.4181278620203,89.5619277472719,2016-02-07
6,55.0477272694973,78.9765590249889,2016-02-07
1,97.4740504796574,172.889634570684,2016-02-08
2,94.9557096112586,149.857452577351,2016-02-08
3,100.855432241049,151.482114452257,2016-02-08
4,95.3152494661394,136.698410331479,2016-02-08
5,62.1732545066566,87.8038616979214,2016-02-08
6,54.3578200345614,77.9867543197932,2016-02-08
1,98.6876071359459,175.042118906813,2016-02-09
2,92.9431404103463,146.681250800554,2016-02-09
3,98.6593041397108,148.183589811525,2016-02-09
4,92.8535988935653,133.16798133982,2016-02-09
5,60.9283811512929,86.0457956485708,2016-02-09
6,53.6679127996256,76.9969496145976,2016-02-09
1,99.9011637922345,177.194603242943,2016-02-10
2,90.930571209434,143.505049023756,2016-02-10
3,96.4631760383725,144.885065170794,2016-02-10
4,90.3919483209913,129.637552348161,2016-02-10
5,59.6835077959292,84.2877295992203,2016-02-10
6,52.9780055646898,76.0071449094019,2016-02-10
1,101.114720448523,179.347087579072,2016-02-11
2,88.9180020085217,140.328847246959,2016-02-11
3,94.2670479370343,141.586540530062,2016-02-11
4,87.9302977484173,126.107123356503,2016-02-11
5,58.4386344405654,82.5296635498697,2016-02-11
6,52.2880983297539,75.0173402042062,2016-02-11
1,102.328277104812,181.499571915202,2016-02-12
2,86.9054328076094,137.152645470161,2016-02-12
3,92.0709198356961,138.28801588933,2016-02-12
4,85.4686471758432,122.576694364844,2016-02-12
5,57.1937610852017,80.7715975005191,2016-02-12
6,51.5981910948181,74.0275354990105,2016-02-12
1,103.5418337611,183.652056251331,2016-02-13
2,84.8928636066971,133.976443693363,2016-02-13
3,89.8747917343578,134.989491248599,2016-02-13
4,83.0069966032692,119.046265373185,2016-02-13
5,55.948887729838,79.0135314511686,2016-02-13
6,50.9082838598822,73.0377307938148,2016-02-13
1,104.755390417389,185.804540587461,2016-02-14
2,82.8802944057848,130.800241916566,2016-02-14
3,87.6786636330196,131.690966607867,2016-02-14
4,80.5453460306952,115.515836381526,2016-02-14
5,54.7040143744742,77.255465401818,2016-02-14
6,50.2183766249464,72.0479260886191,2016-02-14
1,105.968947073677,187.95702492359,2016-02-15
2,80.8677252048725,127.624040139768,2016-02-15
3,85.4825355316813,128.392441967136,2016-02-15
4,78.0836954581211,111.985407389868,2016-02-15
5,53.4591410191105,75.4973993524675,2016-02-15
6,49.5284693900106,71.0581213834234,2016-02-15
1,107.182503729966,190.10950925972,2016-02-16
2,78.8551560039601,124.447838362971,2016-02-16
3,83.2864074303431,125.093917326404,2016-02-16
4,75.6220448855471,108.454978398209,2016-02-16
5,52.2142676637468,73.739333303117,2016-02-16
6,48.8385621550747,70.0683166782277,2016-02-16
1,108.396060386255,192.261993595849,2016-02-17
2,76.8425868030478,121.271636586173,2016-02-17
3,81.0902793290049,121.795392685672,2016-02-17
4,73.160394312973,104.92454940655,2016-02-17
5,50.969394308383,71.9812672537664,2016-02-17
6,48.1486549201389,69.0785119730321,2016-02-17
1,109.609617042543,194.414477931978,2016-02-18
