"Room","g1","g1.se","EaV","delsV","EaV.se","delsV.se","EaJ","delsJ","EaJ.se","delsJ.se","JVr","alpha","alpha.se","theta","theta.se","Vcmax25.se","Campaign","Date","Jmax25.se"
1,5.53321597368114,0.900009105818058,58.87154145,0.629270353,8.514937464,0.003912154,42.74635218,0.631284905,8.376556963,0.003652215,1.77369908934651,0.320243362892125,0.054694512717982,0.220784831122723,0.422796573689038,8.13743562550543,1,2016-02-03,8.13743562550543
2,10.7336996557079,0.860859110654057,58.87154145,0.629270353,8.514937464,0.003912154,42.74635218,0.631284905,8.376556963,0.003652215,1.57818264105293,0.325958609071901,0.0555417297299063,0.606472079884999,0.244195592566145,6.10486501902094,1,2016-02-03,6.10486501902094
3,10.8420605334351,0.72944214026803,57.71166846,0.628845159,5.310820105,0.002560009,32.6727706,0.624974015,3.411258298,0.002541862,1.50197278506732,0.34936342607564,0.0668086836062571,0.360935168484904,0.409373738783296,8.85753808592529,1,2016-02-03,8.85753808592529
4,10.0188261906921,1.74569045086565,57.71166846,0.628845159,5.310820105,0.002560009,32.6727706,0.624974015,3.411258298,0.002541862,1.43417145836712,0.380275270498569,0.0896348360262888,0.385992112019632,0.483212548847169,9.15248234347117,1,2016-02-03,9.15248234347117
5,18.2460284549853,1.04240534705744,82.5470574,0.632541885,13.5311275,0.004312751,50.99755384,0.63093792,8.841111548,0.003704642,1.41224490168068,0.315709808735061,0.0591418164878349,0.567795912556114,0.29624051112471,4.62950978404177,1,2016-02-03,4.62950978404177
6,29.0421246533807,4.57536010149508,82.5470574,0.632541885,13.5311275,0.004312751,50.99755384,0.63093792,8.841111548,0.003704642,1.43469245584551,0.271919432971347,0.0379057878969025,0.740853471793433,0.126988553715993,1.95466105570407,1,2016-02-03,1.95466105570407
