"R_root","R_stem","R_root_se","R_stem_se","Room"
3.77942717478653e-07,3.94268284952083e-07,3.42175754721416e-08,2.84971616256713e-08,1
3.69087802212321e-07,4.26607494976251e-07,2.42746648567972e-08,3.13076340355911e-08,2
3.20376490360212e-07,3.15526837997579e-07,1.14547706719563e-08,4.39448005881918e-08,3
3.90867364808333e-07,4.51572444967838e-07,2.97225065594723e-08,7.75433384265374e-08,4
5.18759910853294e-07,4.23025618340098e-07,2.82326353130976e-08,1.65412407158937e-08,5
6.32332921476963e-07,4.42257653005194e-07,5.45806936851068e-08,2.68801374919166e-08,6
