"Room","Vcmax25","EaV","delsV","Vcmax25.se","EaV.se","delsV.se","ToptV","Jmax25","EaJ","delsJ","Jmax25.se","EaJ.se","delsJ.se","ToptJ","Tgrowth"
"1",115.034588971435,58.8715414480135,0.629270353489272,7.75685960080113,8.51493746421017,0.00391215395768387,41.0489377408838,212.725616721616,43.2539448186846,0.633359318369477,8.33958235960626,6.92200976539434,0.0023647321843456,37.3781876996079,18
"4",69.0638543538137,57.7116684609242,0.628845158791358,5.94161541418521,5.3108201050748,0.00256000939348402,41.1435948939247,97.803973286381,32.672770601723,0.624974014970086,8.47769724733353,3.41125829808242,0.00254186239564016,40.0575652051575,28.5
"6",52.3382934336093,76.043017518616,0.629590693641408,5.67102063591257,13.0720101632336,0.0052365026665051,42.480059769339,75.5728580031027,50.1283397584867,0.630511154680485,5.08742976302012,9.20839019804951,0.00403027599499451,39.5373252285149,35.5
"2",92.2644122718695,58.8715414480135,0.629270353489272,NA,NA,NA,NA,151.486957541734,43.2539448186846,0.633359318369477,NA,NA,NA,NA,22.5
"3",81.6031134613789,57.7116684609242,0.628845158791358,NA,NA,NA,NA,125.234525030084,32.672770601723,0.624974014970086,NA,NA,NA,NA,25
"5",58.1426428410559,76.043017518616,0.629590693641408,NA,NA,NA,NA,79.7731338258747,50.1283397584867,0.630511154680485,NA,NA,NA,NA,32.5
