"Room","alpha","alpha.se"
1,0.273599905519135,0.00654503737650311
2,0.303384618071449,0.00771814836250977
3,0.319660510785718,0.0107896777076319
4,0.362407770192782,0.00828714256731791
5,0.312086438466287,0.00778287751985648
6,0.295775781769314,0.00690208708926497
