"Room","Date","leafarea_p","Leafmass","Stemmass","Rootmass","Intercept","Slope"
1,"2016-01-08",0.00244754666666667,0.030672,0.011616,0.023376,0.910774012147271,-0.0132223060925549
1,"2016-01-09",0.00252448888888889,0.034552380952381,0.0122590476190476,0.0256304761904762,0.910774012147271,-0.0132223060925549
1,"2016-01-10",0.00260143111111111,0.0384327619047619,0.0129020952380952,0.0278849523809524,0.910774012147271,-0.0132223060925549
1,"2016-01-11",0.00267837333333334,0.0423131428571429,0.0135451428571429,0.0301394285714286,0.910774012147271,-0.0132223060925549
1,"2016-01-12",0.00275531555555556,0.0461935238095238,0.0141881904761905,0.0323939047619048,0.910774012147271,-0.0132223060925549
1,"2016-01-13",0.00283225777777778,0.0500739047619048,0.0148312380952381,0.034648380952381,0.910774012147271,-0.0132223060925549
1,"2016-01-14",0.0029092,0.0539542857142857,0.0154742857142857,0.0369028571428571,0.910774012147271,-0.0132223060925549
1,"2016-01-15",0.00298614222222222,0.0578346666666667,0.0161173333333333,0.0391573333333333,0.910774012147271,-0.0132223060925549
1,"2016-01-16",0.00306308444444445,0.0617150476190476,0.016760380952381,0.0414118095238095,0.910774012147271,-0.0132223060925549
1,"2016-01-17",0.00314002666666667,0.0655954285714286,0.0174034285714286,0.0436662857142857,0.910774012147271,-0.0132223060925549
1,"2016-01-18",0.00321696888888889,0.0694758095238095,0.0180464761904762,0.0459207619047619,0.910774012147271,-0.0132223060925549
1,"2016-01-19",0.00329391111111111,0.0733561904761905,0.0186895238095238,0.0481752380952381,0.910774012147271,-0.0132223060925549
1,"2016-01-20",0.00337085333333333,0.0772365714285714,0.0193325714285714,0.0504297142857143,0.910774012147271,-0.0132223060925549
1,"2016-01-21",0.00344779555555555,0.0811169523809524,0.019975619047619,0.0526841904761905,0.910774012147271,-0.0132223060925549
1,"2016-01-22",0.00352473777777778,0.0849973333333333,0.0206186666666667,0.0549386666666667,0.910774012147271,-0.0132223060925549
1,"2016-01-23",0.00360168,0.0888777142857143,0.0212617142857143,0.0571931428571429,0.910774012147271,-0.0132223060925549
1,"2016-01-24",0.00367862222222222,0.0927580952380952,0.0219047619047619,0.059447619047619,0.910774012147271,-0.0132223060925549
1,"2016-01-25",0.00375556444444444,0.0966384761904762,0.0225478095238095,0.0617020952380952,0.910774012147271,-0.0132223060925549
1,"2016-01-26",0.00383250666666666,0.100518857142857,0.0231908571428571,0.0639565714285714,0.910774012147271,-0.0132223060925549
1,"2016-01-27",0.00390944888888889,0.104399238095238,0.0238339047619048,0.0662110476190476,0.910774012147271,-0.0132223060925549
1,"2016-01-28",0.00398639111111111,0.108279619047619,0.0244769523809524,0.0684655238095238,0.910774012147271,-0.0132223060925549
1,"2016-01-29",0.00406333333333333,0.11216,0.02512,0.07072,0.910774012147271,-0.0132223060925549
1,"2016-01-30",0.00500666666666666,0.141213333333333,0.0346266666666667,0.0842933333333333,0.910774012147271,-0.0132223060925549
1,"2016-01-31",0.00594999999999999,0.170266666666667,0.0441333333333333,0.0978666666666667,0.910774012147271,-0.0132223060925549
1,"2016-02-01",0.00689333333333332,0.19932,0.05364,0.11144,0.910774012147271,-0.0132223060925549
1,"2016-02-02",0.00783666666666665,0.228373333333333,0.0631466666666667,0.125013333333333,0.910774012147271,-0.0132223060925549
1,"2016-02-03",0.00877999999999998,0.257426666666667,0.0726533333333333,0.138586666666667,0.910774012147271,-0.0132223060925549
1,"2016-02-04",0.00972333333333331,0.28648,0.08216,0.15216,0.910774012147271,-0.0132223060925549
1,"2016-02-05",0.0106666666666666,0.315533333333333,0.0916666666666667,0.165733333333333,0.910774012147271,-0.0132223060925549
1,"2016-02-06",0.01161,0.344586666666667,0.101173333333333,0.179306666666667,0.910774012147271,-0.0132223060925549
1,"2016-02-07",0.0125533333333333,0.37364,0.11068,0.19288,0.910774012147271,-0.0132223060925549
1,"2016-02-08",0.0134966666666666,0.402693333333333,0.120186666666667,0.206453333333333,0.910774012147271,-0.0132223060925549
1,"2016-02-09",0.01444,0.431746666666667,0.129693333333333,0.220026666666667,0.910774012147271,-0.0132223060925549
1,"2016-02-10",0.0153833333333333,0.4608,0.1392,0.2336,0.910774012147271,-0.0132223060925549
1,"2016-02-11",0.0175146666666666,0.487873333333333,0.1519544,0.250622666666667,0.910774012147271,-0.0132223060925549
1,"2016-02-12",0.019646,0.514946666666667,0.1647088,0.267645333333333,0.910774012147271,-0.0132223060925549
1,"2016-02-13",0.0217773333333333,0.54202,0.1774632,0.284668,0.910774012147271,-0.0132223060925549
1,"2016-02-14",0.0239086666666666,0.569093333333333,0.1902176,0.301690666666667,0.910774012147271,-0.0132223060925549
1,"2016-02-15",0.02604,0.596166666666667,0.202972,0.318713333333333,0.910774012147271,-0.0132223060925549
1,"2016-02-16",0.0281713333333333,0.62324,0.2157264,0.335736,0.910774012147271,-0.0132223060925549
1,"2016-02-17",0.0303026666666666,0.650313333333333,0.2284808,0.352758666666667,0.910774012147271,-0.0132223060925549
1,"2016-02-18",0.032434,0.677386666666667,0.2412352,0.369781333333333,0.910774012147271,-0.0132223060925549
1,"2016-02-19",0.0345653333333333,0.70446,0.2539896,0.386804,0.910774012147271,-0.0132223060925549
1,"2016-02-20",0.0366966666666666,0.731533333333333,0.266744,0.403826666666667,0.910774012147271,-0.0132223060925549
1,"2016-02-21",0.038828,0.758606666666667,0.2794984,0.420849333333333,0.910774012147271,-0.0132223060925549
1,"2016-02-22",0.0409593333333333,0.78568,0.2922528,0.437872,0.910774012147271,-0.0132223060925549
