"Room","Date","Leafarea","Leafmass","Stemmass","Rootmass","Leafarea_SE","Leafmass_SE","Stemmass_SE","Rootmass_SE"
1,2016-01-29,0.00406333333333333,0.11216,0.02512,0.07072,9.79563394806301,0.0427096138019429,0.0101707642015949,0.0193333333333333
1,2016-02-10,0.0153833333333333,0.4608,0.1392,0.2336,10.385299439325,0.113578166916005,0.055075705472861,0.0906151814604546
1,2016-02-22,0.0409593333333333,0.78568,0.2922528,0.437872,39.203863083055,0.179216165211222,0.0755602722524022,0.0988714628127356
2,2016-01-29,0.00633,0.13008,0.03472,0.07552,9.79047155827202,0.0225166604983954,0.00995545634871205,0.0162309717652531
2,2016-02-10,0.0363566666666667,0.7008,0.2816,0.3888,23.2562775276794,0.106926766215636,0.0517472489875334,0.0929157324317757
2,2016-02-22,0.0864256,1.5925216,0.78595968,0.65208,37.6558418132787,0.249103877713823,0.170815843942283,0.109010211404603
3,2016-01-29,0.0122066666666667,0.21792,0.05952,0.10912,14.5160064909204,0.0540401085614503,0.00793725393319377,0.0296779004947752
3,2016-02-10,0.0560666666666667,1.2752,0.4464,0.5296,77.0730029113812,0.511022939254633,0.147309198626562,0.301404121478862
3,2016-02-22,0.116818866666667,2.50832,1.2463456,0.9019104,59.1130889209638,0.296366799063764,0.115905138086802,0.112785887837256
4,2016-01-29,0.0152333333333333,0.27648,0.08896,0.10368,32.2843787474858,0.100400863210101,0.0315453817715226,0.0265141471671257
4,2016-02-10,0.0693966666666667,1.5056,0.656,0.4864,81.0669956133677,0.385155091417009,0.307480803375503,0.21865752013391
4,2016-02-22,0.137723506724,2.875808,1.63406144,0.93576704,65.1219260030279,0.320449380397007,0.257816914569173,0.109356835268185
5,2016-01-29,0.01348,0.30368,0.11392,0.07488,33.0932520815548,0.111092053921261,0.044393442959268,0.0413561764834871
5,2016-02-10,0.05345,1.048,0.7248,0.408,80.2515005051827,0.287885007907285,0.332315111503123,0.198578280114753
5,2016-02-22,0.1135262,2.4187072,1.55464,0.7099264,87.6552489950314,0.426353656740356,0.244507029145559,0.091559742591884
6,2016-01-29,0.0123333333333333,0.22336,0.1128,0.08016,12.3434224499438,0.0586410929108401,0.035557465226494,0.0165025250593154
6,2016-02-10,0.03464,0.7632,0.4944,0.2432,91.5209994117926,0.312143129562919,0.224796204001165,0.115662343819316
6,2016-02-22,0.0646341428571429,1.455144,1.06875428571429,0.382523657142857,47.6480518940026,0.235975038200752,0.180281697287235,0.108240821029077
1,2016-01-08,0.00244754666666667,0.030672,0.011616,0.023376,1.6806146622784,0.00509345985881241,0.00175210874590342,0.00317575224141471
2,2016-01-08,0.00244754666666667,0.030672,0.011616,0.023376,1.6806146622784,0.00509345985881241,0.00175210874590342,0.00317575224141471
3,2016-01-08,0.00244754666666667,0.030672,0.011616,0.023376,1.6806146622784,0.00509345985881241,0.00175210874590342,0.00317575224141471
4,2016-01-08,0.00244754666666667,0.030672,0.011616,0.023376,1.6806146622784,0.00509345985881241,0.00175210874590342,0.00317575224141471
5,2016-01-08,0.00244754666666667,0.030672,0.011616,0.023376,1.6806146622784,0.00509345985881241,0.00175210874590342,0.00317575224141471
6,2016-01-08,0.00244754666666667,0.030672,0.011616,0.023376,1.6806146622784,0.00509345985881241,0.00175210874590342,0.00317575224141471
