"Date","Room","PARsum","PARmax","Tair","RH","VPD","PARsum_mol"
2016-01-08,1,20682.3143555556,1153.90955555556,19.1801875,76.7646527777778,0.573627704230281,74.45633168
2016-01-08,2,20682.3143555556,1153.90955555556,22.3458958333333,76.5436111111111,0.690049977135722,74.45633168
2016-01-08,3,20682.3143555556,1153.90955555556,25.4271944444444,71.3630138888889,1.02693567142719,74.45633168
2016-01-08,4,20682.3143555556,1153.90955555556,26.8655277777778,66.3555069444444,1.31895307723124,74.45633168
2016-01-08,5,20682.3143555556,1153.90955555556,32.4908888888889,60.6735902777778,2.01238873627822,74.45633168
2016-01-08,6,20682.3143555556,1153.90955555556,35.5111666666667,40.1453958333333,3.60947792064856,74.45633168
2016-01-09,1,12212.2217111111,477.117777777778,19.1183888888889,82.5281875,0.420429694751901,43.96399816
2016-01-09,2,12212.2217111111,477.117777777778,22.8681111111111,84.0082291666667,0.49231753038444,43.96399816
2016-01-09,3,12212.2217111111,477.117777777778,26.4506875,77.8329861111111,0.821223951403333,43.96399816
2016-01-09,4,12212.2217111111,477.117777777778,28.28775,66.9248888888889,1.38220059057088,43.96399816
2016-01-09,5,12212.2217111111,477.117777777778,32.3111111111111,64.3987986111111,1.80725619778315,43.96399816
2016-01-09,6,12212.2217111111,477.117777777778,35.4823958333333,51.4146041666667,2.90925418715436,43.96399816
2016-01-10,1,23967.3468444444,1221.01777777778,18.3146458333333,79.3108402777778,0.467595687565969,86.28244864
2016-01-10,2,23967.3468444444,1221.01777777778,22.8556041666667,82.3281527777778,0.543576750491965,86.28244864
2016-01-10,3,23967.3468444444,1221.01777777778,26.4018888888889,78.8918541666667,0.808565840755412,86.28244864
2016-01-10,4,23967.3468444444,1221.01777777778,28.7130277777778,66.5931944444444,1.41754535818965,86.28244864
2016-01-10,5,23967.3468444444,1221.01777777778,32.4037013888889,64.3769444444444,1.83545819807653,86.28244864
2016-01-10,6,23967.3468444444,1221.01777777778,35.6582291666667,50.9506875,3.01102789754875,86.28244864
2016-01-11,1,31714.0244222222,1324.56222222222,18.7246388888889,73.5085902777778,0.633551685118712,114.17048792
2016-01-11,2,31714.0244222222,1324.56222222222,22.7594791666667,77.1237986111111,0.702607581627304,114.17048792
2016-01-11,3,31714.0244222222,1324.56222222222,26.4493194444444,71.9457013888889,1.08095719325909,114.17048792
2016-01-11,4,31714.0244222222,1324.56222222222,28.9610902777778,61.9781180555556,1.63272637739188,114.17048792
2016-01-11,5,31714.0244222222,1324.56222222222,32.8133819444444,61.2479722222222,2.00558835460148,114.17048792
2016-01-11,6,31714.0244222222,1324.56222222222,36.0032569444444,44.0192569444444,3.48496270922655,114.17048792
2016-01-12,1,17468.1133555556,679.413333333333,18.8048888888889,76.3212222222222,0.543491416792469,62.88520808
2016-01-12,2,17468.1133555556,679.413333333333,22.3000486111111,82.4008125,0.520861051497565,62.88520808
2016-01-12,3,17468.1133555556,679.413333333333,25.6114861111111,75.1067083333333,0.879765314170463,62.88520808
2016-01-12,4,17468.1133555556,679.413333333333,28.4096597222222,63.2161041666667,1.49009882162157,62.88520808
2016-01-12,5,17468.1133555556,679.413333333333,32.5557291666667,60.0428194444444,2.0280266662859,62.88520808
2016-01-12,6,17468.1133555556,679.413333333333,35.6469861111111,50.6838958333333,2.95942569956077,62.88520808
2016-01-13,1,29678.7575555556,1600.2,19.0299930555556,73.6079305555556,0.631988702041582,106.8435272
2016-01-13,2,29678.7575555556,1600.2,22.3878472222222,77.6893055555555,0.679509653287534,106.8435272
2016-01-13,3,29678.7575555556,1600.2,25.885,71.4956666666667,1.0730840138948,106.8435272
2016-01-13,4,29678.7575555556,1600.2,28.576625,64.4003194444444,1.47087676235669,106.8435272
2016-01-13,5,29678.7575555556,1600.2,32.690625,61.3075069444444,1.97383338767921,106.8435272
2016-01-13,6,29678.7575555556,1600.2,35.8201944444444,60.0234861111111,2.40424605535583,106.8435272
2016-01-14,1,24394.9033555556,1751.75555555556,19.0288958333333,74.5633402777778,0.606474686889685,87.82165208
2016-01-14,2,24394.9033555556,1751.75555555556,22.6399930555556,81.4713611111111,0.573969417081436,87.82165208
2016-01-14,3,24394.9033555556,1751.75555555556,25.9873958333333,73.6586041666667,0.99555117675814,87.82165208
2016-01-14,4,24394.9033555556,1751.75555555556,29.2541388888889,65.8706736111111,1.50952177739156,87.82165208
2016-01-14,5,24394.9033555556,1751.75555555556,32.6948055555556,62.2166527777778,1.94306240112685,87.82165208
2016-01-14,6,24394.9033555556,1751.75555555556,35.8546041666667,59.2451805555556,2.46256817486702,87.82165208
2016-01-15,1,16851.4815555556,1538.09555555556,18.6287291666667,77.3717569444444,0.530854212390409,60.6653336
2016-01-15,2,16851.4815555556,1538.09555555556,22.5392916666667,73.2770277777778,0.789610076518863,60.6653336
2016-01-15,3,16851.4815555556,1538.09555555556,25.8344791666667,66.2319930555555,1.20046663354523,60.6653336
2016-01-15,4,16851.4815555556,1538.09555555556,28.2307638888889,58.2591458333333,1.65244616992858,60.6653336
2016-01-15,5,16851.4815555556,1538.09555555556,33.0728194444444,60.3430972222222,2.06277008891424,60.6653336
2016-01-15,6,16851.4815555556,1538.09555555556,35.2556805555556,64.6003472222222,2.05048972052583,60.6653336
2016-01-16,1,17071.8169333333,1757.50222222222,18.7376388888889,75.5438958333333,0.570956723447376,61.45854096
2016-01-16,2,17071.8169333333,1757.50222222222,22.7557013888889,67.4072430555556,0.951003739051798,61.45854096
2016-01-16,3,17071.8169333333,1757.50222222222,26.1819513888889,61.1098055555556,1.37669648070525,61.45854096
