Amax,AQY,Rd,Theta,Amax_SE,AQY_SE,Rd_SE,Theta_SE,T_treatment
21.85824369,0.067497927,0.670629387,0.141700348,2.150849621,0.019261239,0.59243375,0.531553301,ambient
15.71858003,0.058915384,0.531520044,0.649746615,1.313328085,0.015681558,0.605349257,0.234800247,elevated
