"Room","Vcmax","Jmax","Vcmax.se","Jmax.se"
1,72.3937084100206,128.860800969837,NA,NA
2,102.698756425346,168.939454319695,NA,NA
3,127.651420640767,200.412730406005,NA,NA
4,147.250609873425,215.722143464568,NA,NA
5,159.521269207632,214.556107084266,NA,NA
6,170.207758971883,213.610737509714,NA,NA
