"Room","totdm.mean","Tair.mean","totdm.standard.error","Tair.standard.error"
1,2.5656619047619,18,0.317781201718309,0
2,4.98938285714286,21.5,0.57045116061435,0
3,7.71447619047619,25,0.818588200643987,0
4,9.03134,28.5,0.938556569865968,0
5,7.76477619047619,32,0.890792925563265,0
6,5.02666857142857,35.5,0.572584077832902,0
