"Room","Date","gCarbon","PARsum","PARmax","Tair","RH","VPD","PARsum_mol","PARFac","LA","Leafmass","Stemmass","Rootmass","cday","self_s.mean","GPP","R_leaf","R_root","R_stem","R_leaf_se","R_root_se","R_stem_se"
1,2016-01-08,5.32822953890816,20682.3143555556,1153.90955555556,19.1801875,76.7646527777778,0.573627704230281,74.45633168,2,0.00252099151515152,0.034376,0.0122298181818182,0.025528,0.0134324214583672,0.871551844419184,0.0120891793125305,0.0323498400145249,0.027681548229034,0.0288772770061274,0.00277643499477941,0.00250618790072651,0.00208720929773214
1,2016-01-17,5.67740619623805,21230.609,1022.69333333333,18.9087916666667,74.1344166666667,0.624554455762864,76.4301924,2,0.00318199515151515,0.067712,0.0177541818181818,0.044896,0.0180654789896115,0.871551844419184,0.0162589310906504,0.0323498400145249,0.027681548229034,0.0288772770061274,0.00277643499477941,0.00250618790072651,0.00208720929773214
1,2016-01-15,4.304803265345,16851.4815555556,1538.09555555556,18.6287291666667,77.3717569444444,0.530854212390409,60.6653336,2,0.00303510545454546,0.060304,0.0165265454545455,0.040592,0.0130655318713937,0.871551844419184,0.0117589786842543,0.0323498400145249,0.027681548229034,0.0288772770061274,0.00277643499477941,0.00250618790072651,0.00208720929773214
1,2016-01-26,4.80435069858573,19336.5437069597,1180.56700854701,18.7616458333333,71.8384166666667,0.654383583189366,69.6115573450549,2,0.00384299878787879,0.101048,0.0232785454545455,0.064264,0.0184631139112096,0.871551844419184,0.0166168025200886,0.0323498400145249,0.027681548229034,0.0288772770061274,0.00277643499477941,0.00250618790072651,0.00208720929773214
1,2016-01-24,3.01824280930921,10308.4762666667,1125.10888888889,18.5833680555556,75.8505833333333,0.54095322156424,37.11051456,1,0.00369610909090909,0.09364,0.0220509090909091,0.05996,0.0111557546860588,0.871551844419184,0.0100401792174529,0.0323498400145249,0.027681548229034,0.0288772770061274,0.00277643499477941,0.00250618790072651,0.00208720929773214
1,2016-01-11,6.74341652173776,31714.0244222222,1324.56222222222,18.7246388888889,73.5085902777778,0.633551685118712,114.17048792,3,0.00274132606060606,0.045488,0.0140712727272727,0.031984,0.0184859034485612,0.871551844419184,0.0166373131037051,0.0323498400145249,0.027681548229034,0.0288772770061274,0.00277643499477941,0.00250618790072651,0.00208720929773214
1,2016-01-09,3.99745140846425,12212.2217111111,477.117777777778,19.1183888888889,82.5281875,0.420429694751901,43.96399816,1,0.00259443636363637,0.03808,0.0128436363636364,0.02768,0.0103711332959891,0.871551844419184,0.00933401996639016,0.0323498400145249,0.027681548229034,0.0288772770061274,0.00277643499477941,0.00250618790072651,0.00208720929773214
1,2016-01-18,6.49755307106047,31103.9678888889,1593.66666666667,19.1724861111111,72.3233680555556,0.682965914131341,111.9742844,3,0.00325544,0.071416,0.018368,0.047048,0.0211523941696531,0.871551844419184,0.0190371547526878,0.0323498400145249,0.027681548229034,0.0288772770061274,0.00277643499477941,0.00250618790072651,0.00208720929773214
1,2016-01-16,4.79244660597388,17071.8169333333,1757.50222222222,18.7376388888889,75.5438958333333,0.570956723447376,61.45854096,2,0.0031085503030303,0.064008,0.0171403636363636,0.042744,0.0148975613492566,0.871551844419184,0.013407805214331,0.0323498400145249,0.027681548229034,0.0288772770061274,0.00277643499477941,0.00250618790072651,0.00208720929773214
1,2016-01-27,3.44353434060481,9291.40326666667,390.617777777778,18.4359027777778,75.3495416666667,0.539594716973045,33.44905176,1,0.00391644363636363,0.104752,0.0238923636363636,0.066416,0.0134864081548613,0.871551844419184,0.0121377673393752,0.0323498400145249,0.027681548229034,0.0288772770061274,0.00277643499477941,0.00250618790072651,0.00208720929773214
1,2016-01-25,2.80117512661447,8628.93382222222,707.464444444444,18.6027986111111,75.9899930555556,0.536759534693961,31.06416176,1,0.00376955393939394,0.097344,0.0226647272727273,0.062112,0.0105591807334619,0.871551844419184,0.00950326266011572,0.0323498400145249,0.027681548229034,0.0288772770061274,0.00277643499477941,0.00250618790072651,0.00208720929773214
1,2016-01-12,5.25428564224776,17468.1133555556,679.413333333333,18.8048888888889,76.3212222222222,0.543491416792469,62.88520808,2,0.00281477090909091,0.049192,0.0146850909090909,0.034136,0.014789610373853,0.871551844419184,0.0133106493364677,0.0323498400145249,0.027681548229034,0.0288772770061274,0.00277643499477941,0.00250618790072651,0.00208720929773214
1,2016-01-10,6.04804320653574,23967.3468444444,1221.01777777778,18.3146458333333,79.3108402777778,0.467595687565969,86.28244864,2,0.00266788121212121,0.041784,0.0134574545454545,0.029832,0.016135460840814,0.871551844419184,0.0145219147567326,0.0323498400145249,0.027681548229034,0.0288772770061274,0.00277643499477941,0.00250618790072651,0.00208720929773214
1,2016-01-19,6.52291046498693,32685.7094444444,1862.35555555556,19.1684027777778,71.7916875,0.690333823180673,117.668554,3,0.00332888484848485,0.07512,0.0189818181818182,0.0492,0.0217140178149183,0.871551844419184,0.0195426160334264,0.0323498400145249,0.027681548229034,0.0288772770061274,0.00277643499477941,0.00250618790072651,0.00208720929773214
1,2016-01-30,4.97934048119538,22348.9360666667,1537.20222222222,18.6186458333333,70.4757638888889,0.68322946033131,80.45616984,2,0.00500666666666666,0.141213333333333,0.0346266666666667,0.0842933333333333,0.0249298980091848,0.871551844419184,0.0224369082082663,0.0323498400145249,0.027681548229034,0.0288772770061274,0.00277643499477941,0.00250618790072651,0.00208720929773214
