"DateTime_hr","Bay","Room","Date","Tair","RH","VPD","PAR"
2016-01-07 13:00:00,"3",1,2016-01-07,26.6407142857143,68.37,1.11155732537391,375.569047619048
2016-01-07 13:00:00,"4",2,2016-01-07,27.0214285714286,74.9707142857143,0.894507505707957,375.569047619048
2016-01-07 13:00:00,"5",3,2016-01-07,25.8171428571429,80.8785714285714,0.635439258197305,375.569047619048
2016-01-07 13:00:00,"6",4,2016-01-07,25.5678571428571,75.5292857142857,0.803057028404745,375.569047619048
2016-01-07 13:00:00,"7",5,2016-01-07,28.0914285714286,61.93,1.44751653585842,375.569047619048
2016-01-07 13:00:00,"8",6,2016-01-07,29.9528571428571,71.15,1.226039171652,375.569047619048
2016-01-07 13:15:00,"3",1,2016-01-07,26.9086666666667,66.1773333333333,1.20496935007301,368.435111111111
2016-01-07 13:15:00,"4",2,2016-01-07,27.1926666666667,70.8306666666667,1.0514062185071,368.435111111111
2016-01-07 13:15:00,"5",3,2016-01-07,25.732,77.6673333333333,0.740897364866694,368.435111111111
2016-01-07 13:15:00,"6",4,2016-01-07,25.6253333333333,69.8646666666667,0.993786215698294,368.435111111111
2016-01-07 13:15:00,"7",5,2016-01-07,28.3686666666667,58.3386666666667,1.61134351661005,368.435111111111
2016-01-07 13:15:00,"8",6,2016-01-07,29.284,67.9306666666667,1.31309091743308,368.435111111111
2016-01-07 13:30:00,"3",1,2016-01-07,26.9286666666667,74.2426666666667,0.915565990091086,229.305111111111
2016-01-07 13:30:00,"4",2,2016-01-07,27.27,79.2373333333333,0.752924511072103,229.305111111111
2016-01-07 13:30:00,"5",3,2016-01-07,25.7906666666667,82.6173333333333,0.577891822578261,229.305111111111
2016-01-07 13:30:00,"6",4,2016-01-07,25.56,75.4146666666667,0.80578445508711,229.305111111111
2016-01-07 13:30:00,"7",5,2016-01-07,28.28,65.344,1.32940766386177,229.305111111111
2016-01-07 13:30:00,"8",6,2016-01-07,29.3626666666667,71.5786666666667,1.16768563116025,229.305111111111
2016-01-07 13:45:00,"3",1,2016-01-07,26.764,76.8046666666667,0.816811578447533,416.533333333333
2016-01-07 13:45:00,"4",2,2016-01-07,27.0073333333333,76.3686666666667,0.842982942957338,416.533333333333
2016-01-07 13:45:00,"5",3,2016-01-07,25.7793333333333,81.838,0.60245996020367,416.533333333333
2016-01-07 13:45:00,"6",4,2016-01-07,25.5793333333333,75.152,0.816285063229997,416.533333333333
2016-01-07 13:45:00,"7",5,2016-01-07,27.994,63.8573333333333,1.36894535085025,416.533333333333
2016-01-07 13:45:00,"8",6,2016-01-07,29.4153333333333,70.0286666666667,1.23476370809652,416.533333333333
2016-01-07 14:00:00,"3",1,2016-01-07,27.1213333333333,78.1106666666667,0.787332749981426,397.915555555556
2016-01-07 14:00:00,"4",2,2016-01-07,27.0373333333333,79.5713333333333,0.730522711999321,397.915555555556
2016-01-07 14:00:00,"5",3,2016-01-07,25.734,81.638,0.607994651199903,397.915555555556
2016-01-07 14:00:00,"6",4,2016-01-07,25.626,72.016,0.92168569130307,397.915555555556
2016-01-07 14:00:00,"7",5,2016-01-07,28.0966666666667,62.1793333333333,1.4396309807225,397.915555555556
2016-01-07 14:00:00,"8",6,2016-01-07,29.8526666666667,72.6573333333333,1.15492427456302,397.915555555556
2016-01-07 14:15:00,"3",1,2016-01-07,26.8253333333333,76.38,0.835144742915987,406.742444444444
2016-01-07 14:15:00,"4",2,2016-01-07,27.2566666666667,79.32,0.748348238551736,406.742444444444
2016-01-07 14:15:00,"5",3,2016-01-07,25.748,80.4766666666667,0.647230498137817,406.742444444444
2016-01-07 14:15:00,"6",4,2016-01-07,25.568,69.7166666666667,0.994543621499306,406.742444444444
2016-01-07 14:15:00,"7",5,2016-01-07,28.008,60.262,1.50655196659715,406.742444444444
2016-01-07 14:15:00,"8",6,2016-01-07,29.5533333333333,70.2153333333333,1.23610141570897,406.742444444444
2016-01-07 14:30:00,"3",1,2016-01-07,27.0206666666667,75.2386666666667,0.885037100631087,367.607555555556
2016-01-07 14:30:00,"4",2,2016-01-07,27.434,77.5113333333333,0.823926129429275,367.607555555556
2016-01-07 14:30:00,"5",3,2016-01-07,25.7493333333333,80.3586666666667,0.651145065959339,367.607555555556
2016-01-07 14:30:00,"6",4,2016-01-07,25.5506666666667,69.6846666666667,0.995059900994905,367.607555555556
2016-01-07 14:30:00,"7",5,2016-01-07,27.9346666666667,58.0406666666667,1.58410604472014,367.607555555556
2016-01-07 14:30:00,"8",6,2016-01-07,29.758,69.2526666666667,1.29098118679744,367.607555555556
2016-01-07 14:45:00,"3",1,2016-01-07,26.998,73.4426666666667,0.949143258899694,952.391111111111
2016-01-07 14:45:00,"4",2,2016-01-07,27.0926666666667,73.716,0.943092248848562,952.391111111111
2016-01-07 14:45:00,"5",3,2016-01-07,26.062,77.1633333333333,0.771374377429424,952.391111111111
2016-01-07 14:45:00,"6",4,2016-01-07,25.844,66.8406666666667,1.10760328193677,952.391111111111
2016-01-07 14:45:00,"7",5,2016-01-07,28.1913333333333,55.82,1.69272045683704,952.391111111111
2016-01-07 14:45:00,"8",6,2016-01-07,29.7813333333333,66.8433333333333,1.39247106710284,952.391111111111
2016-01-07 15:00:00,"3",1,2016-01-07,27.2006666666667,71.944,1.01437402105513,569.062222222222
2016-01-07 15:00:00,"4",2,2016-01-07,27.274,71.0013333333333,1.05179916702759,569.062222222222
2016-01-07 15:00:00,"5",3,2016-01-07,25.9386666666667,72.0053333333333,0.939398957312829,569.062222222222
