"Room","R_leaf","R_root","R_stem","R_leaf_se","R_root_se","R_stem_se","R_leaf_a","R_leaf_a_se"
1,6.89431650963846e-07,5.899421910034e-07,6.1542526184784e-07,5.91706840400173e-08,5.34112459674515e-08,4.44820793981195e-08,1.57333666348571,0.0831589502814788
2,5.40362576042348e-07,4.43232004968393e-07,5.12306541152217e-07,3.58271870717048e-08,2.91510808808161e-08,3.75968680656349e-08,0.974610128113333,0.0484535406697548
3,3.84570907705969e-07,2.97114555698615e-07,2.92617027476753e-07,2.79036162365126e-08,1.06230613082792e-08,4.07540512331126e-08,0.825482315838333,0.0618034998488194
4,3.69924018948332e-07,2.92701701618133e-07,3.3816080580368e-07,2.87143252179281e-08,2.2257750402313e-08,5.80684629880218e-08,0.745849981202222,0.0482861024021188
5,3.82610068882597e-07,3.05237453149907e-07,2.48907557538332e-07,2.35949441441421e-08,1.6612034812993e-08,9.73283802858623e-09,0.7866291038,0.0513351510981714
6,3.41082713078181e-07,3.00089602483663e-07,2.09884569944097e-07,1.84242760163855e-08,2.59026505104131e-08,1.27566500188135e-08,0.812260298093333,0.0442022338360795
