Record ID,Catalog Number,Match Taxon Concept GUID,Scientific Name,Vernacular Name,Matched Scientific Name,Taxon Rank - matched,Vernacular Name - matched,Kingdom - matched,Phylum - matched,Class - matched,Order - matched,Family - matched,Genus - matched,Species - matched,Subspecies - matched,Institution Code,Collection Code,locality,Latitude - processed,Longitude - processed,Coordinate Precision,Coordinate Uncertainty in Metres - parsed,Country - parsed,IBRA Region - parsed,IMCRA Region - parsed,State - parsed,Local Government Area - parsed,Minimum Elevation In Metres,Maximum Elevation In Metres,Minimum Depth In Meters,Maximum Depth In Meters,individual Count,Collector,Year - parsed,Month - parsed,Day - parsed,Event Date - parsed,Event Time - parsed,Basis Of Record,Sex,Preparations,Information withheld during processing,Data Generalised during processing,Species habitats,Outlier for layer,Taxon identification issue,Location Quality,coordinate Uncertainty In Meters,Data Resource ID,Data Resource Name,Precipitation - annual,Temperature - annual mean (Bio01),el 1007,missing Coordinate Precision,decimal Lat Long Converted,geodetic Datum Assumed Wgs 84,inferred Duplicate Record,Altitude value non-numeric,Invalid collection date,Collection date missing,Coordinate uncertainty not specified,Habitat incorrect for species,Basis of record not supplied,Suspected outlier,Type status not recognised,Basis of record badly formed,Collection code not recognised,Coordinates dont match supplied state,Coordinate accuracy not valid,unrecognized Geodetic Datum
5363d675-bf86-42b5-8c41-5ceea96f290a,SPJGI4349007,urn:lsid:biodiversity.org.au:apni.taxon:306679,Eucalyptus tereticornis,Forest Red Gum,Eucalyptus tereticornis,species,Forest  Red Gum,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus tereticornis,,,,,-28.68765578,152.1645681,,10,Australia,NSW North Coast,,New South Wales,Tenterfield,,,,,,,2011,1,22,22/01/2011,,humanObservation,,,,,"[""Non-marine""]",0,"[""noIssue""]",Spatially valid,10,dr368,OEH Atlas of NSW Wildlife,937,16.1,29.09,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
b06cecc8-2b15-426a-bced-0f57b0078200,SPJGI3693139,urn:lsid:biodiversity.org.au:apni.taxon:306679,Eucalyptus tereticornis,Forest Red Gum,Eucalyptus tereticornis,species,Forest  Red Gum,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus tereticornis,,,,,-29.18376579,153.0910548,,8,Australia,South Eastern Queensland,,New South Wales,Richmond Valley Bal,,,,,,,2008,5,30,30/05/2008,,humanObservation,,,,,"[""Non-marine""]",0,"[""noIssue""]",Spatially valid,8,dr368,OEH Atlas of NSW Wildlife,1060,19.2,30.99,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
dce2a182-16be-4805-9abc-22e02337e72a,SPJGI4376679,urn:lsid:biodiversity.org.au:apni.taxon:306679,Eucalyptus tereticornis,Forest Red Gum,Eucalyptus tereticornis,species,Forest  Red Gum,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus tereticornis,,,,,-32.43580816,150.4011577,,10,Australia,Sydney Basin,,New South Wales,Muswellbrook,,,,,,,2011,1,18,18/01/2011,,humanObservation,,,,,"[""Non-marine""]",0,"[""noIssue""]",Spatially valid,10,dr368,OEH Atlas of NSW Wildlife,598,16.7,32.08,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6b4c143f-e548-4a0d-8107-f50072a1ce42,SPJGI3970951,urn:lsid:biodiversity.org.au:apni.taxon:306679,Eucalyptus tereticornis,Forest Red Gum,Eucalyptus tereticornis,species,Forest  Red Gum,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus tereticornis,,,,,-29.96152418,153.1860664,,10,Australia,NSW North Coast,,New South Wales,Coffs Harbour - Pt B,,,,,,,2008,5,15,15/05/2008,,humanObservation,,,,,"[""Non-marine""]",0,"[""noIssue""]",Spatially valid,10,dr368,OEH Atlas of NSW Wildlife,1349,19.3,29.37,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
aeaa7c42-b0a6-4e1f-8118-4577e0c0b149,SPJGI3589612,urn:lsid:biodiversity.org.au:apni.taxon:306679,Eucalyptus tereticornis,Forest Red Gum,Eucalyptus tereticornis,species,Forest  Red Gum,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus tereticornis,,,,,-33.95567954,150.9292875,,100,Australia,Sydney Basin,,New South Wales,Liverpool - East,,,,,,,2008,4,9,9/04/2008,,humanObservation,,,,,"[""Non-marine""]",0,"[""noIssue""]",Spatially valid,100,dr368,OEH Atlas of NSW Wildlife,840,17.7,29.59,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
75c78b74-1fca-4a1d-a6d9-2fe768209694,SDMPI0470830,urn:lsid:biodiversity.org.au:apni.taxon:306679,Eucalyptus tereticornis,Forest Red Gum,Eucalyptus tereticornis,species,Forest  Red Gum,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus tereticornis,,,,,-29.05129623,152.5894906,,100,Australia,South Eastern Queensland,,New South Wales,Clarence Valley Bal,,,,,,,2008,4,17,17/04/2008,,humanObservation,,,,,"[""Non-marine""]",0,"[""noIssue""]",Spatially valid,100,dr368,OEH Atlas of NSW Wildlife,1063,18.6,32.39,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
bb545291-7eeb-4108-add9-5c70adcf103e,SPJGI3889037,urn:lsid:biodiversity.org.au:apni.taxon:306679,Eucalyptus tereticornis,Forest Red Gum,Eucalyptus tereticornis,species,Forest  Red Gum,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus tereticornis,,,,,-29.77962533,153.1768842,,10,Australia,South Eastern Queensland,,New South Wales,Clarence Valley- Coast,,,,,,,2008,5,16,16/05/2008,,humanObservation,,,,,"[""Non-marine""]",0,"[""noIssue""]",Spatially valid,10,dr368,OEH Atlas of NSW Wildlife,1091,19.2,29.47,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
d2188a2b-8d8d-48a7-b60e-c71b98793a14,SPJGI4288545,urn:lsid:biodiversity.org.au:apni.taxon:306679,Eucalyptus tereticornis,Forest Red Gum,Eucalyptus tereticornis,species,Forest  Red Gum,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus tereticornis,,,,,-32.59779785,151.7476881,,10,Australia,NSW North Coast,,New South Wales,Dungog,,,,,,,2008,10,30,30/10/2008,,humanObservation,,,,,"[""Non-marine""]",0,"[""noIssue""]",Spatially valid,10,dr368,OEH Atlas of NSW Wildlife,1071,18,31.11,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
f8d6cacd-f388-4231-845d-af23bdfbd4d2,SPJGI4288697,urn:lsid:biodiversity.org.au:apni.taxon:306679,Eucalyptus tereticornis,Forest Red Gum,Eucalyptus tereticornis,species,Forest  Red Gum,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus tereticornis,,,,,-32.58901202,151.7368467,,10,Australia,NSW North Coast,,New South Wales,Dungog,,,,,,,2008,10,30,30/10/2008,,humanObservation,,,,,"[""Non-marine""]",0,"[""noIssue""]",Spatially valid,10,dr368,OEH Atlas of NSW Wildlife,1071,17.8,31.05,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
b2e82578-4e6f-4c82-9393-b8f4cdb65482,SPJGI3858481,urn:lsid:biodiversity.org.au:apni.taxon:306679,Eucalyptus tereticornis,Forest Red Gum,Eucalyptus tereticornis,species,Forest  Red Gum,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus tereticornis,,,,,-29.39726585,153.0525718,,100,Australia,South Eastern Queensland,,New South Wales,Clarence Valley- Coast,,,,,,,2008,5,27,27/05/2008,,humanObservation,,,,,"[""Non-marine""]",0,"[""noIssue""]",Spatially valid,100,dr368,OEH Atlas of NSW Wildlife,1174,19,30.71,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
