Date,Curve,Room,Povanance,Replicate,Unit,Photo,Cond,Ci,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi
16/02/2016,2,6,A,1,HIE2,11.06055812,0.487308603,1211.630707,22.10711861,23.62306023,20.92819786,1299.510132,1268.896973,14.73980999,21.28574371,55.48444366,80.12501526,299.9284058,1501.424316
16/02/2016,2,6,A,1,HIE2,10.28733783,0.414986477,1507.83466,21.689394,22.74921799,20.93007088,1599.720947,1570.604858,14.97517872,20.30067825,57.82027435,78.3824234,299.9440308,1501.036255
16/02/2016,3,4,B,2,HIE2,14.13889242,0.411336054,303.5588035,18.93298912,19.95709801,17.81251526,399.84021,369.4931641,10.14135933,15.65015125,46.41509247,71.62779999,299.9847412,1501.353882
16/02/2016,3,4,B,2,HIE2,11.36597312,0.407188023,203.054673,18.75286865,19.61438942,17.81492615,280.0504761,255.9355774,10.02827549,15.35106754,46.41731644,71.05462646,300.0076294,1500.253662
16/02/2016,3,4,B,2,HIE2,4.85839074,0.406112194,107.1880281,18.59169006,19.3045578,17.81852341,140.4573517,130.0549469,9.894208908,15.08464146,46.25983047,70.52741241,299.9924927,1500.837158
16/02/2016,3,4,B,2,HIE2,1.682272657,0.40765462,68.85836972,18.45573807,19.05550575,17.82134438,80.87457275,77.10899353,9.734638214,14.85775471,45.90324783,70.0610733,299.9966431,1500.886475
16/02/2016,3,4,B,2,HIE2,3.784981114,0.41303071,93.68545454,18.3537159,18.84709358,17.82114792,119.4812012,111.3328705,9.548353195,14.66459751,45.31246567,69.59200287,299.9887085,1500.044312
16/02/2016,3,4,B,2,HIE2,6.930311797,0.42216602,134.1887126,18.2785759,18.70926476,17.82819557,180.2162476,165.4857788,9.304555893,14.50130177,44.36310577,69.140625,300.0605469,1500.926514
16/02/2016,3,4,B,2,HIE2,12.531449,0.477511305,262.3150428,18.64125061,19.38424683,17.84814644,340.6734619,313.7047119,9.19442749,15.18063545,42.84920502,70.74699402,300.0119324,1499.774902
16/02/2016,3,4,B,2,HIE2,15.62749303,0.60939425,353.5800298,19.23735428,20.46258163,17.80705452,440.9079895,406.5942383,9.285261154,16.68465996,41.68781662,74.90871429,300.0080261,1500.241333
16/02/2016,3,4,B,2,HIE2,15.7623823,0.574945412,457.2813674,19.04737854,20.17874908,17.80859375,549.6401978,514.4331665,9.224064827,16.27167892,41.90428543,73.92110443,300.0307312,1500.211426
