"code1","sp","prov","treat","num","ht","diam","secondary_branches","branch_length","leafFM","tenleafFM","tenleafarea","tenleafDM","leafDM","totalstemDM","rootDM","totalDM"
"tkr10","t","k","r",10,78,7.2,8,33,29.29,5.14,313.1,1.24,7.06607003891051,4.558244804,4.2179,15.8422148429105
"tkr2","t","k","r",2,81,7.23,6,33,40.35,4.79,282.1,1.5,12.6356993736952,6.343294502,4.9682,23.9471938756952
"tkr5","t","k","r",5,88.4,7.95,8,25.5,40.38,8.11,429.8,2.37,11.8003205918619,6.824213483,6.5646,25.1891340748619
"tkr6","t","k","r",6,66,8.1,11,20,38.47,6.61,416.88,1.6,9.31195158850227,4.31325,4.8075,18.4327015885023
"tkr7","t","k","r",7,78.5,7.2,8,32,31.08,6.78,337.7,1.82,8.34300884955752,4.282990033,4.2171,16.8430988825575
"tkw10","t","k","w",10,101,5.74,15,42.4,43.29,2.4,153.3,0.67,12.085125,7.054608915,2.792,21.931733915
"tkw3","t","k","w",3,93.5,6.58,4,26.5,34.25,7.74,520.25,1.66,7.34560723514212,4.661081239,2.4317,14.4383884741421
"tkw5","t","k","w",5,104.5,7.13,11,32.4,41.58,3.53,268.43,0.96,11.3078753541076,7.259637437,2.7399,21.3074127911076
"tkw7","t","k","w",7,114.5,8.2,16,29.5,47.59,6.38,493.87,1.7,12.6807210031348,10.9640976,6.3643,30.0091186031348
"tkw8","t","k","w",8,97.6,8.59,10,29.2,41.25,4.6,318.5,1.44,12.9130434782609,10.23832353,5.9885,29.1398670082609
